item_id,is_book_in,is_book_out,is_negative_in,is_negative_out,is_book,is_negative,Y,tokens
22,5,0,0,5,1,0,0,woman cover book look familiar 's 've probably seen one countless fitness magazine sporting winning smile fabulous figure used read hardcore fitness magazine realized woman featured made working life ... n't ever going go far used marvel strict regimin low fat high protein mini meal coupled intense daily workout on-again-off-again raw vegan year used wonder would say strength training raw diet well 's someone national fitness competitor model personal trainer kathy feldman diagnosed hypothyroidism causing excessive weight gain began looking new answer diet exercise regimin discovered raw food learned longer over-exercise keep lean strong physique kathy recommends 80 raw diet consisting fresh juice vitamineral green breakfast followed fresh fruit early afternoon snack one delicious raw crunch bar mid afternoon salad another raw crunch bar late afternoon dinner choice cooked highly recommends vegan eating strict boring diet definitely appeal average eater standard american diet sad kathy keep simple book short sweet explains basic eating raw without getting deeply detail nutrition anxious get straight information transforming body background cellular biology combined easy-going writing style make petite diet manual real plus field fitness nutrition like fit life helped countless people change eating habit back 80 book appeal anyone wanting transition raw food incorporate raw food diet without going extreme let tell real kicker diet includes raw crunch bar die 'm totally addicted
23,5,0,0,5,1,0,0,found book full practical guidance use storytelling effectively business setting book reinforced many belief use story well providing great deal evidence effectiveness recommend_book wish effective communicator business
24,5,0,0,5,1,0,0,became engrossed book minute started_reading ms.o'connor uncanny knack able write insightfully men_woman grew know intimately experience emotion passion found deeply rooting attitude towards theatre towards kept growing changing -- always wit underneath enormously appealing felt spent many hour friend cared hated finishing book..
25,4,1,0,5,1,0,0,wolfgang lotz 's architecture italy 1500-1600 wonderful introduction survey majesty italian renaissance architecture privilage studying richard tuttle recognized introduction showed brilliance lotz 's work well ability show beauty architecture book must serious academic student architectural enthusiast lotz 's presentation italian architecture continuation ludwig heydenreich 's architecture italy 1400-1500 read together certainly definitive work renaissance architecture marvelous picture diagram best published image come across
26,5,0,0,5,1,0,0,inspiring book person trying get excited cooking two recipe fast flavorful easy-to-prepare guaranteed get compliment share also converted serve 2 people author done outstanding job coming convenient dish n't taste way presented fun yet stylish format need little culinary inspiration regardless many serving 'll love book
27,5,0,0,5,1,0,0,problem finding word technique lovingly effectively correct child book you.i became instant step parent two boy 7 9 part great child time need disciplined loss approach problem book given clear direct tool become effective parent
28,5,0,3,2,1,0,0,albert goldman author book one level brilliant writer ... ... entire slant toward john lennonis negative ... seems jealous john lennon.. mad jealousy 's conclusion come ... end really n't_think considered autobiography lennon becausewhatever objectivity goldman retain overshadowed gross subjective generalized reasoning ... 's bathroom trashy somewhat fictionalized account john lennon 's one mostentertaining thing 've_ever read ... love john yoko even afterhaving read ... make become obsessed myth..
29,5,0,0,5,1,0,0,author continues share u idea dynamic color okay use large florals striped pattern quilt another book awesome beautiful quilt make instruction concise easy_read templated needed complete project included
30,5,0,0,5,1,0,0,thought book good anderson 's background contributed scholar taught islamic law england many year also take evangelical approach helpful christian traditional background also refutes many better known pluralist hick cantwell etc help average person better understand whole issue issue extremely important church anderson discus question christianity unique one saved name jesus forth good book read important subject meaty hard lay people read get something
31,5,0,0,5,1,0,0,love book spanish much english n't lose 's rythme translation
32,5,0,0,5,1,0,0,'m month marriage feeling suffocated- even_though lived together two year prior making altar n't expect miss single life much go identity crisis book made realize feeling normal 'm alone island love husband dearly felt guilty feeling uneasy book made feel 100 better recommend new bride anyone relished single life prior settling anyone was/is plain nervous married book affected marriage better
33,5,0,0,5,1,0,0,'ll feel_like scintillating dinner conversation top player publishing industry book firmly grounded reality offer much pseudo- '' sure-fire formula '' hitting bestseller list -- offer real insight way success flourish book 'll want read glean new piece wisdom time ...
34,5,0,0,5,1,0,0,volume contains exceptional philosophical article philosophy sartre cover every aspect life thought critique pull punch omit nothing work take hard look soundness sartre 's philosophy find hold read volume p.s interview sartre durring later year worth_price book alone like sartre love book
35,5,0,0,5,1,0,0,far_best book subject one see surfing site ca course several university around_world important feature book well founded exposition book possible understand designer modern computer take decision read processor report every decision based performance measure good cost-benefit relation book emphasizes point_view every thing must measured order take right decision also reason several recent book bestseller book field time important principle remains however hope new edition sonner please mr. henessy mr. patterson
36,5,0,0,5,1,0,0,book key passing clep u history exam read cover cover practice test repeatedly got answer correct shortfall book n't cover `` antebellum '' period level match exam suggest supplementing book instantcert.com flashcard also used sparknotes u history flashcard timeline end found old high_school history textbook used cement fact learned pay key attention order thing happened intitiated certain act movements.overall book must-have prepping passed 69
37,5,0,0,5,1,0,0,thought biography detailed mostly around film page 262 first paragraph think mr. coppola would agree mention fact quot chief phillips quot made life last attempt end willard getting speared boat kurtz 's mongrules overall book manificant biography itailian-american film maker time
38,5,0,0,5,1,0,0,one awesome followed series inspector bank book dry season onward one probably best far.part reason protagonist alan bank got fixed pretty_good previous book -playing fire story start still recovering psychological physical wound incurred previously follow along struggle attempt coming back place normal well rebuilding home well relationship co-worker especially annie cabbot story force re-establish re-evaluate relationsip younger brother evidence relationship hinted throughout previous book book place relationship front center.robinson us signature plot device dual story intertwining twin narrative whereas previously robinson used device tell two story related philosophical sense time two murder intimately related inextricably become investigation robinson build plot line tempo narrative brilliantly time little guarded storyline n't telegraph ending much playing fire make much satisfying ending particular personal favorite series far involves many emotional change character story line personal bank robinson also started flesh detective eastvale giving point_view foiles strength weakness make care lot story also make story much complicated real
39,5,0,5,0,1,1,1,say book introdouces three character one chapter character thats entire vocabulary seems consist `` hotcha gotcha '' say nearly 10 time chapter would honestly care people upped died book surprise one `` plot twist '' obvious 6 chapter away mention hate annoying underdeveloped character oh yes usually like bruce coville book bought level unreadability outclassed sequel
40,5,0,1,4,1,0,0,purchased book two year_ago read n't impact much pulled reread deeply moved author 's conviction spiritual nature life even one strong spiritual conviction easy compartmentalize work family_friend spiritual life bolles reminded quot integrity quot integrated life work although short book quick read rather something meditate
41,5,0,0,5,1,0,0,great book use daily basis well reference material w3c elsewhere 's well-organized owned previous edition probably purchase next edition well
42,5,0,4,0,1,1,1,gary smalley obviously horrible husband early year marriage wonderful woman later repented assumes woman wonderful men horrible edition book read relates telling adulterous wife affair completely husband 's fault quite frankly offended gary smalley unmitigated gall call christian.if wife want find many way blame problem husband book however want godly fulfilling marriage try `` need need '' willard harley
43,5,0,0,5,1,0,0,4 year_old son read book 5 seven night week pretend boy enjoys different thing thankful book great way show child beautiful joyful world read book say prayer son start prayer quot 'm thankful ... quot
44,5,0,0,5,1,0,0,stuck rut working enjoying le found profit dropping overhead skyrocket looking way live life way want live buy book today today_'s difficult investment climate many u financial advisor trapped service duty administrative function making le author living dream enjoying lifestyle deserve show demonstrate step-by-step complete specific recommendation software hardware technology improve practice help make money well_written extremely interesting book give hope vision make change practice enhance quality life bought book planning spend time condo colorado needed idea author delivered exactly need_know extra bonus joel terrific responding question email thanks gentleman 's next book coming
45,5,0,0,5,1,0,0,wonderful account euro american transformed untamed native american wilderness square parcel real_estate 'll never look quot fly land quot way could_n't put book recommend interest geography engineering history politics real_estate
46,5,0,0,5,1,0,0,bought book husband recently got first violin great us everyday really easy piece cd helpful get started
47,5,0,0,5,1,0,0,richard dawkins brilliant writes clearly colleague student learn ease writes entertainingly thoroughly enjoy learning process graf ridley 's compendium scientist benefited dawkins brilliance build work provide important commentary instruction think reason
48,1,0,0,1,1,0,0,janie johnson lived nightmare discovered kidnapped child back birth family spring moved life janie 's whose real name jennie disappearance cast shadow everything janie put back spring traumatized finding horrible time trying fit sibling angry life dramatically changed shocked sister thought dead back parent tender cry moment janie want go back old family old life sibling want revenge janie able fit hurt family returning people think kidnapped
49,5,0,0,5,1,0,0,scientific theory born assumption bit unconnected evidence cemented speculation association good bit faith given uncertainty theory made viable believe prove today_'s leading thinker science age certainty represents author 's interview group leading scientist thinker question believe true even_though ca_n't prove answer amaze n't scientist find lively engrossing reflections.diane c. donovan editorcalifornia bookwatch
50,5,0,0,5,1,0,0,consider one_best book ever_written kebra nagast tell u biblical background rastafari culture faith read book moved taught many thing rasta belief contains great tale wisdom rasta information rasta believe book contains information passed many generation strongly_recommend book rasta person intersted rastafari faith
51,5,0,0,5,1,0,0,finally ten year teaching rcia found book every teacher 's looking unlike material 've use author n't talk mystagogy better show church father parish priest agrees best resource catechumenal candidate
52,5,0,0,5,1,0,0,soil organism seldom get due despite fact gain food directly indirectly soil people think much exists soil particle fact soil full living thing could almost considered alive alien spacecraft landed almost soil surface earth would find recognizable life process without much trouble planet may bit weird least weird mar saturn 's moon titan .david w. wolfe presented readable fascinating view soil biota book `` tale underground '' soil microorganism `` friendly '' earthworm prairie dog reader treated broad panorama life suspected number specie soil even rocky crust may larger surface e. o. wilson said another career would ecology microorganism tropical soil think something.sadly relatively soil biologist specialist example earthworm creature darwin noted largely responsible development humus temperate part world far noted ehrenfeld book `` beginning '' yet crop thus life planet depend soil-forming organisms.i visited citrus grove florida nearly every chlorinated hydrocarbon known man used ever present insect pest spooky place soil could used pesticide far could ascertain ant spider heard bird singing observation certainly odd every grove ever visited ant spider common bird song could heard periodically living creature found earwig thousand existed leaf litter apparently resistant ddt chlordane toxophene aldrin dialdrin used grove proliferated beyond belief human activity noted wolfe need mitigated sustainable society think nature something conquer last chapter `` good earth '' read anyone stake solving problem may lead demise species- mean u still wolfe point `` conditional optimist '' progress pessimistic despair get u nowhere `` pathological optimism '' gotten u point perhaps time moderation thinking knowing may make drastic change attitude get anywhere certainly unfortunate several current government still `` pathological optimism '' mode facing unpleasant fact always hard however many national international corporation world bank number insurance agency taking threat seriously certainly affected drastic change may offing afford head-in-the-sand thinking politician seem need get re-elected.read book- change attitude dirt walk probably originated
53,4,1,0,5,1,0,0,let see ... betsy ross make first flag ... george washington may may chopped cherry tree b thrown coin across river c great leader ... george bush may may told lie iraq ... computer programmer may may soul size mouse's.what teach child believe people squabbling whether chief s* *for may may want use anglicized name fact said something like unlike lovely verse book.this book young_child interested presenting profound beautiful word kid along interesting picture might well incite conversation buy book.if want guaranteed fact read newspaper wait wo_n't either read mcse guide cram course material raise child think xp good idea.really folk get life remember target market book historian remember 4 8 year_old subtract larger number smaller one heck read child book talking mouse lovely book five_star
54,5,0,0,5,1,0,0,single-volume weighty reference dog expert n't miss dog bible definitive source thing dog well two hundred breed covered n't dog fifty career dog also included manual health remedy emergency solution grooming hint training tip dog 's definitive overview includes country origin alternate name characteristic chapter covering life dog dog-friendly rental housing cover issue likely arise dog ownership especially recommended library foundation pick
55,5,0,0,5,1,0,0,fiance stayed one night reading book almost wet bed laughing hard book bring couple together potentially trying time
56,5,0,0,5,1,0,0,blood alone intresting addidtion quot legion quot seris book honor glory great military ideal sometimes lacking today world power liked legion damned probably like book also ... ca_n't see would n't ca_n't wait next..
57,5,0,5,0,1,1,1,book reminded porn movie lot sex plot character development two decide loved anyway really seemed know make climax real disappointment like steamy sex scene built around character grow care get know romance book
58,5,0,0,5,1,0,0,basic comprehensive book process affect coral reef exelent edition birkeland includes restpectable scientist field book includes plentiful reference useful need start search topic included book
59,5,0,0,5,1,0,0,`` lucky enough lived paris young man '' hemingway wrote `` wherever go rest life stay paris moveable feast '' reason 1995 new yorker `` paris journal '' columnist adam gopnik wife martha moved paris son luke could grow `` someplace everything see beautiful '' p. 167 m. f. k. fisher observed book gastronomical paris `` always seen first_time eye childhood love '' 23 essay journal entry constitute paris moon gopnik 's best writing occurs describing paris experience young son though whole book may read intimate memoir gopnik 's five-year 1995-2000 love affair city light -- cafs brasserie shop aesthetic carousel luxembourg garden striking contrast stupidity barney american television never-ending small moment infuse life paris profound meaning tryst however gropnik also learns paris difficult mistress instance recall frustration encountered upon joining french health club attempting purchase thanksgiving turkey 1995 strike offer apology mooning sentimentally subject gropnik never loses objective journalist 's eye writing subject equally funny intelligent gopnik 's observation appeal reader new yorker magazine anyone_interested french culture cuisine bureaucracy g. merritt
60,5,0,0,5,1,0,0,book excellent primer anyone_interested woodworking handtools clear illustration identify tool particular correct usage maintenance woodworking handtools handplanes screwdriver included also included appendix listing essential handtools woodshop found appendix book indispensable
61,4,1,4,1,1,1,1,practice 25 year treating adult child alike read many book subject add adhd frankly found book full old sham treatment n't work better snake oil.this guy snake oil salesman dr stanley j. steinberg d.c
62,5,0,1,3,1,0,0,'ve always wanted japanese garden whenever bought book subject complicated complex understand takashi sawano managed write book u n't born gardener 's easy_understand fabulous japanese garden friend rave really ca_n't recommend_book enough want authentic japanese garden look_like 's straight japan buy book
63,4,1,1,4,1,0,0,behind scene story mr. mill tell player tradition wimbledon long illustrious career amazing deep background insight personality like jonhny mac even british restraint tell think jimbo big bully u 've wondered say winner even deeply felt loser championship get read here.he share insight reason behind decline british tennis.i always thought one proverbial british gentleman disappointed.a must_read tennis fan
64,5,0,0,5,1,0,0,read book 1st time right became new christian almost 20_year ago changed life title melody used book perfectly described keith green 's heart made many mistake often zealous faith inspired complete trust god cost gave opportunity rich famous according world 's standard turn became rich famous according god 's standard recently read book cried hard could_n't breathe much keith family wish even fraction faith zeal keith
65,5,0,0,5,1,0,0,book must big thanks scott writing knew scratched surface soundforge 's power book reaffirmed book eclipsed genius software niice
66,5,0,5,0,1,1,1,first started_reading book thought good lacked little detail skimmed part discussing various event band experienced first thought much written read appears author either n't research n't enough come kurt 's experience courtney mention made courtney 's action leaving reader believe kurt always fault also glossed heartbreak kurt suffered france taken away went get back considering impact three lack information questionable best also never mention fact doctor treated kurt rome incident said evidence kurt swallowed let alone 50 rohynols simply go courtney 's comment around event come kurt 's death author always refer suicide 100 proven many people get 'facts wrong kurt disfigured badly could identified fingerprint barricade greenhouse stool front back door way gaining entry balcony small barstool could_n't block anything even someone could scale balcony kurt 's wallet n't lying open next body policeman stated opened wallet put taking picture also wendy n't make missing person 's police report courtney admitted called police pretending wendy author state wendy courtney krist decided kurt 's_ash would spread far anyone know besides courtney kurt 's_ash made several tsatsas monk ithaca ny buried tree lake washington house according courtney allegedly spread wishkah river one really know happened kurt 's_ash except courtney one look item author either n't include made major mistake make hard take rest book truth 's good read least first part many book kurt much better
67,5,0,0,5,1,0,0,first n't let book make decide rest series 's supposed long version romero 's dawn dead zombie rule story take twist turn story take look human aspect zombie outbreak people deal situation arise 's great case study human relationship strain constant tragedy friend borrowed gotten become addicted 's great series
68,5,0,0,4,1,0,0,mass affluence complement dollarization discipline fox gregory explaining emotional need today_'s mass-market customer end-user broadcaster customer put two together see product development sale work coming decade review based reading commercial executive summary book
69,5,0,0,5,1,0,0,ream ream investment valuation book market -- obvious.in opinion three one without applied equity analysis stephen penman 's monster tome `` financial statement ... '' lastly aswath damadoran 's book `` investment valuation `` hyperventilating mba default damadoran really enjoy simplicity behind applied equity analysis.caution neither 3 'd call `` light reading `` money left honorable mention go cooke 's `` security analysis wall street
70,5,0,0,4,1,0,0,easily accessible short reasonably thorough introduction subject risk author touch almost every dimension topic including financial risk operational risk reputation risk governance risk even risk terrorist attack book might quite bit shorter somewhat focused corporate management author kpmg vice chair mary pat mccarthy timothy p. flynn tightened anecdote anti-terrorist preparation olympic game however seem believed would lose reader unless provided entertaining distraction could right though break little new ground plow old ground interestingly recommend portable summary useful_information ceo board member intended audience well anyone responsible risk management
71,5,0,0,5,1,0,0,another great book joanna brady series j.a jance time throw little romance mix thing brianna o'brien found murdered hispanic boyfriend main suspect others n't_believe could kill teenage girl many secret boyfriend one investigating crime everyone 's favorite female sheriff joanna brady uncovers bargained difficult time dealing see cast support character return others mentioned passing know back future tome 're given little glimpse 's store joanna brady daughter growing quickly mother 's new relationship seems transposed former anger made almost approachable.i find interesting jance tell wonderful story throw moral issue well deal topic racism book civilized way showing prejudice extreme go continue narrow-mindedness however also give_u hope future show u matter odds follow parent belief instead friend based thing color skin social standing.and along story line moral issue always rely jance paint mental picture arizona desert 's best lived arizona remember million star sky jance describes detail remember rugged beauty various wilderness area similar portrayed one give better mental image thing jance read book series feel_like 've actually bisbee arizona 'm_sure ever get chance visit town 'll see thing 've_seen mind reading novels.after reading first book joanna brady series n't_think jance would able keep standard set mistaken achieved level excellence surpassed continues set new standard new book writes.i highly_recommend skeleton canyon book series 're wonderful exciting highly addicting suggest read order get background character 's mandatory make enjoyable read let imagination run wild possible scenario future
72,5,0,0,5,1,0,0,book perfect starting point people wanting get rental business provides answer question n't_think ask
73,5,0,0,5,1,0,0,even tip iceberg nicolle 's work certainly enjoyable reader casual interest subject despite title book deal particularly hun turco-mongol nomad central asia general author add forest people siberia influence hardy horseman steppe military science even chivalry staggering people would seem practically invented warfare even oath sword taken european knight apparently borrowed nomad turk nicolle 's general discussion followed profile nomad group hun genghis khan kipchaks bulgars seljuk karakhanids including cultural detail mere barbarian color drawing beautiful intricate right tiny brass bell decorating turkic warrior 's spear overall 's colorful fascinating introduction nomad central asia
74,5,0,0,5,1,0,0,... find something amazon.com wished could purchased nearly decade ago know existance bought book sister-in-law ala longer make costume hard shelve home later 'm bad person beautifully done book even_though 's already coming 10 year_old
75,5,0,0,5,1,0,0,recently purchased book 5_year old niece 's wonderful child 's book giving child 's perspective christmas story child never heard story 's great chapter night read child christmas time every year purchased book hardcover pb version quite worn year reading rereading hardcover edition well_worth money would suggest pb version
76,5,0,0,5,1,0,0,mother-in-law gave book vacation year artist questioning human general found book like reading thought poured onto paper could_n't seem get though word fast enough little sad page passed meant would closer end book must_read everyone 'm grateful took time write bcecause touchstone
77,5,0,0,4,1,0,0,bought book day came 8 remember happened remeber whern saw book barnes noble long came knoew buy saw ricky byrdsong sr many time around school even_though never knew personally sad hear someone lose life like 's also sad scarry thinking sort thing happen close home diverse commntittee people walk street time ca_n't stay locked house aviod people hate people mayb different `` perfect '' 's sad still racism hate country tragedy involving ricky byrdsong show bad thing still think everyone read book matter old
78,5,0,0,5,1,0,0,book absolute must_read anyone love art color travel france started_reading could_n't put vividness imagery color james morgan succeeds conveying word paper simply stunning masterful way weave self-discovery together travelogue france painting lesson biographical glimpse life henri matisse delightful
79,2,2,0,5,1,0,0,practice make perfect spanish pronoun preposition clearly best spanish reference category systematic easy use extremely informative covering wide range spanish pronoun preposition 'dog novice expert alike.a reference like need practical day-to-day vocabulary sentence building equivalent.my choice behind wheel spanish 8 cd text.together speaking even reading writing spanish like native
80,5,0,0,5,1,0,0,book well_written extremely funny worked several blue collar job testify book ring truth absolutely_love part working stainless steel room fishing ship quot panic button quot john l. white author quot 'm debt 40 retirement saving help quot
81,5,0,0,5,1,0,0,saving jew amazing tory men_woman defied `` final solution '' story righteous gentile sought rescue jewish men_woman child certain death hand nazi horrific year world_war ii many found sent concentration camp experienced atrocity camp losing life story well known figure oskar schindler raoul wallenberg fifty individual throughout europe risked everything save life thousand jew targeted extinction simply jewish highly_recommended reading saving jew welcome invaluable contribution growing library holocaust study supplemental reading list reference collection
82,5,0,0,5,1,0,0,book must-have 's great conversation piece get togethers read birthday amazed analogy applied bring work twice year people read child spouse etc awed accurate depiction illustrated loved one born certain day people picked book denied accuracy book depicted people whose personality negative read birthday personality felt book right described negative maybe vindictive personality saw people negative/pessimistic personality read denied truth read n't want accept read numerous birthday personality spouse child relative friend acquaintance found book accurate feel 's must-have know capable know people life book accurate opinion
83,5,0,0,5,1,0,0,quot becoming mae west quot simply best book written star focused meticulously researched employing primary source available m leider 's book authority without sacrificing readability author writes well fascinating part west 's life cobbled together act personality amalgam police gazette melodrama comic camp female impressionist bert savoy daring sexual style musical sense great african american blue woman mae west 's sense possibility allowed transform pudgy jewish/irish girl gut talent blond sex symbol amazonian proportion okay used six inch platform shoe refined rough soubrette type witty american icon emily leider tell story well wanted dirt west 's declining decade ms. leider sketch complete tale leider warns reader act becoming mae west prompted write book effort woman entrapped creation preserve highly_recommended
84,5,0,0,5,1,0,0,actually feel much author loved carolyn besette kennedy turn tortured page read book one day could hardly put think michael bergin brave write truth wish darryl hannah would too.i also think treated unfairly medium promoting book 's story every right tell 'm_glad
85,5,0,0,5,1,0,0,'ve cooking apocalypse chow months-even without disaster-and amazed great recipe quality dish surpasses `` survival '' recipe 've tried robin robertson 's expertise chef really come though book provides recipe use pantry foods-after fresh frozen meat vegetable gone suggested book fun adding canned meat fish way like recipe book 've_seen take pantry food high gourmet level taste healthfulness presentation 'd recommend_anyone
86,5,0,0,5,1,0,0,book phenominal academic textbook really hit home real_world business plan section extremely useful real life company example case study quite interesting insightful
87,5,0,0,5,1,0,0,far_best beginner book ever picked used idea book teach workshop tremendous success people never picked brush '' go wron
88,5,0,0,5,1,0,0,remarkable book one fresh perspective toward young adult novel assigned middle school english class barbara feinberg 's central question book preteen get grim extended essay mixed personal reflection feinberg examines ya `` problem novel '' book le began paul zindel 's `` pigman '' librarian call `` doom gloom '' book `` child '' protagonist novel face abuse abandonment incest trauma loss lot death child need suffer someone need die make child grow accept reality resilient self-reliant survivor meantime adult book useless helping kid cope imagination play completely sacrificed kid book expected grow hindrances.as founder long-running child 's program new_york called story shop feinberg know talk real child give place play imagination book also writes extensively child 12-year-old alex victim dismal school summer reading clair age 7. gal know love kid book impassioned defense childhood adult worked issues.i heard sermon several_year ago rev mary harrington unitarian universalist minister mother time similar-aged child feinberg 's talking environmental education program young_child standard environmental education program child given message world going hell handbasket needed save interestingly child grow environmentalist adult instead became environmentally apathetic adult child became environmentalist adult taken nature allowed enjoy look bug take hike scared death given adult responsibility shoulder rev harrington pointed child ca_n't even make parent recycle much le save world duty adult take action foist onto vulnerable helpless children.feinberg make similar point spate young adult problem novel currently school required reading list large 12-year-olds hate required read analyze school book -- book could love found age 15 -- depressing demoralizing trying teach fake `` child '' narrator adult perspective guise child adult 's `` inner child '' wish protect lost child self giving `` past '' self context suffering life also trying toughen toughening kid book required read help actual child right taking childhood away reassure overwhelmed adult remember hating `` red pony '' 8th grade assigned steinbeck novel young protagonist pony dy n't year later tried steinbeck surprised find n't faulknerian trauma n't give_u fun steinbeck novel read like `` cannery row '' feinberg 's sacred cow include whole list newbery winner work independent bookstore 12-year-old come asking good book would never recommend `` bridge terabithia '' although author katherine paterson writes beautifully book stark depressing bleak devastating surprise ending give one chapter resolution.the writing `` lizard motel '' lovely well memoir certainly popular right educational theory preteen reader understand wrote book way teacher librarian bookseller ya author reader parent consider feinberg 's perspective memoir writer also take inspiration skillful weaving personal history essay.i 'm rather sorry 've given 5-star book review often book like come along one want put extra-credit star distinction 100th review amazon.com
89,5,0,0,5,1,0,0,enjoyed reading dr. blass 's book stanley milgram.besides growing area bronx milgram book good read drag author really captured character subject
90,5,0,0,5,1,0,0,norgren 's cherokee case excellent legal history engaging accessible two landmark case federal indian law combine history politics law readable whole providing abundant detail without overwhelming reader thought knew story cherokee case think -- pick book
91,5,0,0,5,1,0,0,really liked book method buying market index made lot sense
92,0,5,0,5,1,0,0,actor high_school played character mr. depinna best theater experience 've_ever play enough mature theme taken seriously unlike_many family life play period also humorous enough let cast enjoy acting
93,4,1,2,2,1,0,0,terrifying story danger sea horror life prison ship thank heaven never committed crime least caught would doomed punishment ship bound botany bay.mary broad 's story `` crime punishment '' vivid description 18th century survival harshest condition sealed filthy animalistic hold ship bound halfway around_world imprisioned primative botany bay mary 's life go bad worse prompting plan escape via small boat.with husband friend mary set get anywhere botany bay battered weather would challenged largest ship little group escaped convict suffer hunger thirst lose sight coast find open sea.finally drag harbor kupang accepted given warmest welcome finally first_time life mary experience pleasure life always reach dream-life come end resident kupang realize new friend escaped prisoners.mary turned british returned england standing trial remanded newgate prison -- new -- public sentiment move court determine mary punished enough released rest life spent quietly pass history without notice reason know story even interest story mary brand `` girl botany bay ''
94,5,0,0,5,1,0,0,beautiful anthropoligical work told srory extrenmle fascinating.the forest people echo work usurper storie san people completely captivated book read four time winter taking step forward coming term life 's different perspective
95,5,0,0,5,1,0,0,book made laugh broke heart simultaneously learned terrifying disease al tackled humor vigor importantly enduring love three incredible sister
96,5,0,1,4,1,0,0,excellent review major event social issue shaped quot war drugs. quot baum openly critical nation 's policy back point fact rather anecdote unlike author genre baum portray nation 's leader purposely perpetrating evil citizen knowingly perpetuating war benefit rather show underneath utter failure drug control policy lie error judgement poor political choice -- foremost among choice view drug addiction moral evil rather neuropsychiatric disease furthermore baum 's scholarly analytical tone prevents book seeming like others bitter indignant plea marijuana legalization excellent excellent history summary
