item_id,not_eye_witness_in,not_eye_witness_out,informative_in,informative_out,y_in,y_out,y,tokens
19,0,0,0,0,0,0,1,impact state state sandy winding spent much fury past two day crashing ... http //t.co/ih7gcpgq
20,1,2,1,2,0,3,0,'re prepared rt dadrain bring sandy park slope brooklyn http //t.co/09dbktih
21,3,0,1,2,1,2,0,rt depresseddarth hurricane n't destroy 'jersey shore house death star might finish job sandy
22,3,0,3,0,3,0,0,apps first-person account emergency hospital evacuation nyc sandy power_outage http //t.co/arjk8gpd
23,6,1,3,4,3,4,0,rt niftynyc nymarathon happen year sandy nyc http //t.co/7ineum6v
24,3,0,3,0,3,0,0,sandynyc misinformation superstorm_sandy rumor cost congressional campaign manager job http //t.co/vknzi2pg via abc
25,4,0,2,2,2,2,0,ipad must check manufactured personal day http //t.co/rfdoov0a
26,3,0,3,0,3,0,0,powerless new_yorkers find creative way charge gadget pic http //t.co/1lqhjhc1 see http //t.co/sleqwb4f
27,2,1,3,0,2,1,1,rt iansomerhalder wow-so surreal rt ryotnews photo slideshow amp update sandy aftermath instagram http //t.co/ep6eqfcr nyc nj
28,4,0,0,4,0,4,0,rt francisboulle gangnam style actually giant rain_dance 've brought sandy
29,3,0,1,2,1,2,0,rt the_ironsheik wish hurricane_sandy go zachbraff house fuck as till die dog shit rape
30,2,2,2,2,1,3,0,rt 69d_b wow ca_n't believe shark swimming streets/yard nyc/new jersey scaryã “ â‹âˆã “ â‹âˆ keep safe guy sandy http //t.co/pjhbb2v9
31,2,1,1,2,1,2,0,obviously sandy n't listening obama said going stop rise ocean
32,3,0,3,0,3,0,0,breaking sandy make landfall nj http //t.co/4ve8aclk
33,2,1,3,0,2,1,1,sportssturm hey bob ask bracketdan 39 american death sandy count major storm ... ...
34,3,0,0,3,0,3,0,contrerasrafael desastre sandy nyc amigo yo bien gracias dios tenido luz
35,2,2,2,2,1,3,1,rt desboislilou ouragan sandy requins nyc 2012 http //t.co/osjfadfi
36,3,0,3,0,3,0,0,rt irisheagle sandy meteorologist said october 22 week historic storm http //t.co/5gu639tq
37,4,0,2,2,2,2,0,rt nycarecs nypd calling cop people `` breaking store '' around mermaid ave. crime nyc sandy
38,3,1,3,1,3,1,1,rt nymag rt mikebloomberg next update nyc 's response sandy 11 10/30 watch live http //t.co/rk7nhpe6
39,2,1,0,3,0,3,0,rt thejowett people choose ignore professional advice hurricane_sandy absolutely sympathy 're clearly idiot
40,3,1,1,3,1,3,0,rt youranonnews statue liberty right http //t.co/waxbbzuc sandy
41,2,1,3,0,2,1,1,rt nbcnews live blog surreal scene aftermath sandy government response http //t.co/03mhqjfx
42,3,0,0,3,0,3,0,rt 1tuiteiro boatos que furacã­â£o sandy ã­â© imortal e que nã­â£o vai morrer final
43,3,0,3,0,3,0,0,sandy wreaks havoc houston symphony concert violinist swoop save day http //t.co/0uzfxa3w
44,3,1,0,4,0,4,0,rt son_of_fratter soldier guarding tomb_unknown soldier hurricane_sandy rage america _ã´âˆ__ã´âˆâÿ_ã´âˆ__ã´âˆâÿ_ã´âˆ__ã´âˆâÿ http //t.co/uubuvplj
45,7,0,6,1,6,1,0,rt huffingtonpost guy walked 2 mile save litter kitten sandy http //t.co/jsn2f5oe
46,2,1,1,2,1,2,0,take good care everyone 's yet alert stay_safe sandy
47,3,0,1,2,1,2,0,harryanxiety fgs sandy get together
48,1,2,3,0,1,2,1,hurricane_sandy double_rainbow touch manhattan morning signaling end stormiest weather http //t.co/lusbbv4v
49,2,1,1,2,1,2,0,hope_everyone near sandy ok ... lt_3 across sea xx
50,3,0,2,1,2,1,0,rt mmzarzosa eeuu vende mã­ã§s pero http //t.co/jozvtlzz
51,2,1,3,0,2,1,1,rt skynewsbreak mayor new_york michael bloomberg say superstorm_sandy resulted 18 death nyc
52,3,0,2,1,2,1,0,rt djolder someone called em today n't like bed shelter gave folk ... word sandy
53,3,0,2,1,2,1,0,send u hurricane_sandy pic http //t.co/jila0xua
54,3,0,1,2,1,2,0,loved one nyc need let know 'm prayer aftermath hurricane_sandy
55,2,1,1,2,1,2,0,bet skynews waiting hurricane hit nyc sandy
56,3,1,0,4,0,4,0,rt szadkowski_m sandy le mã­â©dias en font-ils trop sur le usa et pa du tout assez sur haã­â¿ti bcp de lecteurs lemondefr le pensent http //t.co/cftj7qin
57,3,0,3,0,3,0,0,yeeeeeaaahhh ... .. statue liberty hurricane_sandy photo go viral nyc real fake http //t.co/zitspxxg
58,3,1,4,0,3,1,1,rt justinking224 ... unreal essentially building power nyc right empire_state building sandy http //t.co/scvhg8qh
59,3,0,1,2,1,2,0,godblessamerica sandy
60,3,0,1,2,1,2,0,fuck sandy
61,2,1,0,3,0,3,0,bersih2 nyc habis kenak sandy storm itu gimana yak udah 100 full water dah itu kota x.x
62,1,2,2,1,1,2,0,question say bikeshare n't delayed ... would rad subway substitute street full twisted metal sandy nyc
63,3,0,3,0,3,0,0,whoa rt danielpetty best wire photo hurricane_sandy far http //t.co/8aehy8ht
64,2,1,0,3,0,3,0,rt ruthcalhoun weatherchannel must making killing remnant revenue today sandy
65,3,0,0,3,0,3,0,rt sahzdi sandy puntico de llegar nyc dios los proteja
66,1,2,2,1,1,2,1,watching sandy fucking empirestate
67,5,0,2,3,2,3,0,rt pops_dc 5 fake hurricane_sandy photo 're sharing social_medium http //t.co/pkiqfzsd
68,2,1,3,0,2,1,1,rt conanobrien redcross blood bank running low due_hurricane sandy canceling blood drive find bank donate http //t.co/vfyilnrk
69,2,1,2,1,1,2,1,blueholdhole got grandma le headed back uptown hurricane_sandy alphabetcity aftermath http //t.co/vtzhev5b
70,3,0,1,2,1,2,0,bussed nyc another show hurricane_sandy u house arrest 3 day lose passport dont tell twila ouf trip
71,2,1,0,3,0,3,0,porn kind dick published aged pic http //t.co/4uetccue
72,3,0,1,2,1,2,0,teamautofollow videos/ ellie kemper talk marriage http //t.co/mxgdncft
73,2,1,1,2,1,2,0,f_jrl 'm hungry w 3ndy akl yw99lo 3shan sandy elzft
74,3,0,2,1,2,1,0,presidential courage mitt romney refuse talk fema hurricane_sandy event http //t.co/qgfymeqf via huffpostpol
75,1,2,2,1,0,3,1,rt nystephiee crazy pic hurricanesandy sandy statueofliberty nyc storm damn wow rain instago photooftheday http //t.co/6ty6ova5
76,2,1,1,2,1,2,0,people inside hurricane_sandy still blogging 'd probably
77,2,1,0,3,0,3,0,rt osi_suave apparently song called sandy wud soon recorded
78,2,1,2,1,1,2,0,rt felixht everyone throw yolo around time better outside hurricane_sandy hit toronto storm moneywheremouthis 2012
79,3,0,1,2,1,2,0,1st hurricane_sandy arsenal hammered reading star war 7. stay_safe everybody start end world ...
80,3,0,1,2,1,2,0,rt stewiecricket piersmorgan 've survived hurricane_sandy thankfully currently seem struggling hurricane reading
81,3,0,2,1,2,1,0,titus_ndronicus chance 'd radio sesh wrek atlanta tomorrow xl gon_na set something sandy
82,2,1,1,2,0,3,0,rt isardasorensen rainbow today 's nyc sky_offer glimpse_hope hurricane_sandy http //t.co/nhq4tvvn
83,1,2,3,0,1,2,1,rt domingobacalao nyc sandy http //t.co/2ycc8te3
84,3,3,5,1,3,3,1,rt abcworldnews gate c34 laguardia airport mt jetblue recovering hurricane_sandy http //t.co/rlsyyahs
85,3,0,1,2,1,2,0,rt pilurubio efectivamente ya estã­ã§n todos listos en nyc para la llegada del_huracã­ã§n sandy expectaciã­_n mã­ã§xima http //t.co/6wz4xkeb
86,3,0,3,0,3,0,0,world vision fundraiser 's state supply damaged hurricane_sandy bad management waste money vulnerabile store
87,2,1,2,1,2,1,0,superstorm_sandy nyc pray united state america
88,3,1,0,4,0,4,0,rt _jackiiexo hurricane_sandy n't yo thang
89,3,0,3,0,3,0,0,life rt ceexruocco someone really made hurricane_sandy twitter page tht shxt 130k follower
90,2,1,3,0,2,1,1,video confirmation lbi house least still standing area devastated lbi sandy http //t.co/yhrdntt9
91,3,0,2,1,2,1,0,rt kgbt americanapparel receiving backlash latest promotion ... company apologize sandy rgv http //t.co/4lcld9un
92,3,0,0,3,0,3,0,rt danielviotto1 meteorã­_logos creen que sandy tendrã­ã§ efectos devastadores
93,3,0,3,0,3,0,0,rt rdevro bloomberg say power could part nyc three day 750000 currently going without sandy
94,3,1,1,3,1,3,0,rt lord_sugar piersmorgan piersy go stand top empire_state building start waffling hot air deflect sandy
95,3,0,1,2,1,2,0,milkmaid58 anglopp say irish mad ... .. sandy nyc http //t.co/gyqv0ob5
96,2,1,0,3,0,3,0,rt _swizzy4l sandy ai_n't real _ã´ã–__ã´ã–__ã´ã–_
97,3,0,1,2,1,2,0,sandy ... ... ... ... blow ... important thing like screaming arsenal fc
98,3,0,3,0,3,0,0,rt brendlewhat thanksdonald rt realdonaldtrump challenge fellow billionaire match donation 5m hurricane_sandy relief_effort
99,2,1,1,2,1,2,0,hurricane starting turn sugary sweet sandy sugar high tummy ache thanks tabifit
100,3,0,3,0,3,0,0,cnn trending u.s. stick u sandy coverage
101,2,1,3,0,2,1,1,storm aftermath live update live update aftermath storm http //t.co/h7kqkurs
102,3,0,0,3,0,3,0,_ã´__ sandy baby 're one make government much fun _ã´ã « ã³_ã´ã_ megan__carter
103,7,0,3,4,3,4,0,rt democracynow new_jersey 's oyster creek nuclear power plant design even older fukushima daiichi http //t.co/0izzziwy sandy
104,1,2,3,0,1,2,1,rt huffingtonpost gov cuomo hudson river literally pouring ground zero site sandy nyc
105,3,0,1,2,1,2,0,hurricane_sandy safehouse http //t.co/iecsmg5o
106,2,1,3,0,2,1,1,sandy death toll climb 38 million affected storm 's devastation editor 's note click `` play '' button ... http //t.co/syplnusw
107,3,0,1,2,1,2,0,rt ericmtownsend tree fall nyc least 50 people n't stop instagram tree really fall sandy
108,4,0,4,0,4,0,0,limited train service resuming nyc superstorm_sandy cbs news national geographiclimited train servic ... http //t.co/zuqzbrxt
109,2,1,0,3,0,3,0,rt cnnee rescatan persona de los techos de casas rodantes en nuevajersey http //t.co/g8n0gjqi sandy
110,3,0,1,2,1,2,0,concerned nyc eastcoast friend stay_safe n't let sandy bully
111,3,0,3,0,3,0,0,evanrizz town talking please everybody please tell u town see power jcp_l sandy
112,3,0,0,3,0,3,0,rt mr2157 mã­ã§s de 175.000 persona estã­ã§n sin luz en nueva_york sandy
113,3,0,3,0,3,0,0,dealing aftermath hurricane_sandy http //t.co/6d6mtsl4
114,4,1,5,0,4,1,1,volunteer redcross aid result hurricane_sandy
115,3,1,0,4,0,4,0,svmelb istub enig hadde ikke flere tegn igjen og det sã­â « dermed ut som jeg konkluderte sandy sikrer dette obama det gjã­âÿr ikke
116,3,0,2,1,2,1,0,rt aravosis gop house candidate 's campaign manager tried spread panic w/ false rumor sandy twitter last_night http //t.co/cx55lfxg
117,3,0,3,0,3,0,0,rt forbes hurricane_sandy put 87 billion worth home risk http //t.co/s7jmycna
118,2,1,3,0,2,1,1,thing getting pretty wild ... sandy nyc http //t.co/xtxuuvvo
119,3,0,1,2,1,2,0,aftermath hurricane_sandy thought community employee affected storm
120,3,0,3,0,3,0,0,rt hurricanesandyw every 100 retweets donating 1000 help rebuilt community damaged hurricane_sandy please retweet
121,5,1,6,0,5,1,1,rt un unhq nyc closed tuesday due_hurricane sandy info http //t.co/0p90ezia photo http //t.co/vt8wl9rx
122,3,0,0,3,0,3,0,rt myabyafofiya ayyy pool party tonight front door hosted hurricane_sandy music rain drop dj thunder turnup
123,4,0,4,0,4,0,0,superstorm_sandy flood fire dozen home burning rockaways 200 firefighter 6 alarm blaze li house fire smell gasoline
124,6,1,6,1,6,1,1,sandy-hit area struggle resume daily life cbs news http //t.co/aaator0w topstories
125,3,0,0,3,0,3,0,guaoooo sustoooo rt sahzdi impresionante esta foto del_huracã­ã§n sandy acercã­ã§ndose nyc -- -- gt http //t.co/l8ithklq
126,2,1,0,3,0,3,0,rt hasanise ã­_ldã­_rã­_cã­_ kasã›â±rga sandy'n aâã´kã›â±m
127,2,1,2,1,2,1,1,rt suehorner sandy surgery starbucks today 's iabctoronto twitter news http //t.co/inuow5w8
128,2,1,0,3,0,3,0,creo lo de los tiburones en la calles el_metro del estado de ny tras sandy jamã­ã§s en la vida
129,3,0,2,1,2,1,0,rt frankcaro por fin una foto real de lo que esta pasando en nyc con el_huracã­ã§n sandy http //t.co/bthbr8sj
130,3,0,0,3,0,3,0,amberlynn_r 're welcome u ok hurricane_sandy able watch dwts
131,6,1,6,1,6,1,1,rt peoplemag sandy hero nurse rescued newborn hurricane hit nyc hospital lost power http //t.co/qp8tshoe
132,3,0,1,2,1,2,0,`` sandy '' around lately make goalie puke cry justgoalie whatstorm
133,3,0,3,0,3,0,0,sun charity volunteer ..ushers post hurricane_sandy cleanup washington dc mqmusa http //t.co/lndzk3qy
134,1,2,2,1,1,2,0,rt theonion lone doofus waiting 36 hour next c train http //t.co/cjplwdb8 sandy
135,4,1,2,3,2,3,0,rt javimoya espectacular foto de sandy desde la estaciã­_n espacial internacional esta vez e fake e de astromarshburn http //t.co/zgw8vz4j
136,3,0,3,0,3,0,0,rt bbckimghattas continue 2 cover aftermath sandy u important remember storm wreaked havoc caribbean killed 66ppl
137,4,0,3,1,3,1,0,rt_newyorkpost apple store get sand bagged meatpacking dristict hurricane_sandy nyc http //t.co/mfbg5fzz
138,2,1,0,3,0,3,0,rt sparksnicholas 'm praying terribly affected sandy ... terrible storm
139,3,0,0,3,0,3,0,nyc absolutely way draw http //t.co/ek85jfof
140,3,0,2,1,2,1,0,ã¤ã³ã¬ katiecouric halloween postponed canceled area due sandy celebrating today trick treater ã¤ã³â
141,2,1,0,3,0,3,0,rt ant_917 real new_york n't look_like people island ... exactly nyc sandy http //t.co/82hjytia
142,3,0,3,0,3,0,0,rt sandyhuricane_ hurricane_sandy weather http //t.co/fdqmbhrl
143,3,0,2,1,2,1,0,everybody please safe cause hurricane_sandy aint playn game gt philadelphia philly newjersey nj newyork nyc
144,2,1,2,1,2,1,0,beansunny fema bad gop saying great thing dealing sandy church giving bible homeless useful
145,2,1,0,3,0,3,0,rt kidlogik wish ollie williams could live coverage hurricane_sandy
146,2,1,1,2,1,2,0,tech tip mashable medium summit rescheduled due_hurricane sandy http //t.co/hojrwbgv
147,2,1,1,2,1,2,0,rt baratunde nyc nbc4 showing footage man ocean jet ski evolution incomplete frankentunde sandy
148,2,1,3,0,2,1,1,rt fdnyemswebsite 's close photo broken crane due_hurricane sandy nyc fdny nypd responded http //t.co/mwfkrtny
149,3,0,0,3,0,3,0,rt globovision envideo declaran como zona catastrã­_fica ã­ã§reas de nueva_york nueva jersey afectadas por `` sandy '' http //t.co/tcv3m4uv
150,4,1,4,1,4,1,1,nyc life come back ... taxi traffic sanitation dept equipment clean fdr drive open 5ft water last_night sandy
151,4,0,3,1,3,1,0,unfuckingbelievablemichael brown ex-fema head advice criticism obama hurricane_sandy http //t.co/iciooisx via denverwestword
152,4,0,4,0,4,0,0,rt nbcnewyork breaking sandy 40 mile new_jersey wind water swell sandynj http //t.co/seqmlfv3
153,2,1,1,2,1,2,0,rt hassidiclife truefact rt tedfrank half hour cnn watching provides le information reading good set twitter feed 5 minute sandy
154,2,1,3,0,2,1,1,cyntroe -we 've sandy 's remnant lake mid 30 's real windy ... .some snow w/sleet/rain ... ..
155,2,1,0,3,0,3,0,joshuamorrowyr u today josh 's name really..we nyc made thru sandy hw bout rt
156,4,1,2,3,2,3,0,rt maureenjohnson mj storm update cnn sent least-loved reporter wave atlantic_city die sacrifice must made every major storm sandy
157,3,0,2,1,2,1,0,rt xhurricanesandy film 2012_new york flooded october world ended 's october 's 2012_new york flooded sandy
158,3,0,0,3,0,3,0,hope_everyone okay part hurricane_sandy hit sandy
159,1,2,1,2,0,3,0,live-blogging sandy http //t.co/ic79lmdr via storify
160,3,0,3,0,3,0,0,ã¤ã³ã¬ peoplemag sandy hero nurse rescued newborn hurricane hit nyc hospital lost power http //t.co/upb0fsrsã¤ã³â kg1025
161,3,0,0,3,0,3,0,rt e1000r1 s'il de inondations ã­ã¦ nyc il faut leur envoyer fabrice ebouã­â© badoumtsssssssssss sandy
162,5,0,0,5,0,5,0,stranded nyc right 'd gathering many speaker amplifier possible 'd nuke rem 's endoftheworld sandy
163,3,0,2,1,2,1,0,rt lizgillies feel like everyone forgot halloween wench sandy ruined everyone
164,4,0,1,3,1,3,0,sandy differentiating real fake theatlantic http //t.co/gdpuwoiy
165,3,1,1,3,1,3,0,calling give sandy update yikes
166,4,0,4,0,4,0,0,sandy already made record book lowest pressure safe everyone east mainly ri pa nyc nj steer clear coast
167,3,0,0,3,0,3,0,god cease sandy bless affected storm
168,2,1,1,2,1,2,0,tylercicardo aw tyler cause hurricane_sandy dumb blonde lol
169,3,0,0,3,0,3,0,rt shannonleto thought nyc/east coast everyone else affected_hurricane sandy
170,3,0,1,2,1,2,0,http //t.co/38eam45l â™âƒã¸ã¥â™âƒâ™âšã¸_ã¸â© ã¸ã‡ã¸ã‚ã¸_ã¸ã‚ ã¸ã¥ã¸_â™_ã¸ã‚â™ãš ã¸ã‡ã¸â±â™âƒâ™âšã¸â‡ã¸â© ã¸_ã¸â±ã¸ã‚â™_ã¸â© ã¸_ã¸ã‡ã¸_â™ãš â™_ã¸âµâ™âšã¸â±â™âˆã¸_ kuwait saudi sandy sex ksa egypt bahrain http //t.co/zc5vdlfq
171,3,0,0,3,0,3,0,rt michelledbeadle want u sandy rt weasle81 look_like east_coast sandy worry http //t.co/fhcr3ret
172,2,1,2,1,2,1,1,rt miss_kalia sandy killed 67 people caribbean left 200000 homeless haiti yet news focused ny poor n't count right
173,2,1,3,0,2,1,1,google crisis map link great series map showing sandy power_outage http //t.co/ypuld6dj
174,3,0,3,0,3,0,0,much damage near except billboard took spill sandy http //t.co/k4rnyqgx
175,3,0,0,3,0,3,0,rt iconiacgenni thank sandy making thousand iconiacz bawl eye day ripiconicbench _ã´ã–ã_ã´ã–â‚_ã´ã–â©_ã´ãã®
176,3,0,3,0,3,0,0,rt ckanal sandy rt nyscanner manhattan fdny one world trade center crane top freedom tower broken
177,3,0,1,2,1,2,0,rt rqry hurricane shaniqua would much better name hurricane_sandy
178,3,3,6,0,3,3,1,created timelapse hurricane_sandy passing 42nd 10th new_york http //t.co/n188sbx0
179,4,2,3,3,1,5,0,rt sandyhuricane_ rainbow today 's nyc sky_offer glimpse_hope hurricane_sandy http //t.co/vgspdfmw
180,2,1,0,3,0,3,0,mom start dancing like `` yeah sandy come get '' _ã´ã–â‰_ã´ã–â‰_ã´ã–â‰_ã´ã–â‰
181,3,0,3,0,3,0,0,rt mittromney continued prayer affected sandy support red_cross text_redcross 90999 visit http //t.co/oepuxjmo
182,1,2,0,3,0,3,0,breeze ras blow outadoor wonder sandy waah touch toronto mi call work tmrw sigh
183,3,0,3,0,3,0,0,flooding power_outage continue cause blood drive cancellation area sandy impacted check http //t.co/wrlbuw6f open site
184,2,1,1,2,1,2,0,global_exc declara obama desastre en ny nueva jersey suman 16 muertos en eu por paso de sandy http //t.co/n6njsvc7 http //t.co/p1eu1hsb
185,3,0,0,3,0,3,0,rt iamdiddy praying everyone effected sandy god_bless http //t.co/qjlc4ujr
186,3,0,0,3,0,3,0,pablomckinney viendo tv de nuestro paã­_s que cursis algunos `` comunicadores '' tratando de manipular la comunidad de ny con sandy
187,2,1,0,3,0,3,0,rt causeitsthecup hurricane_sandy wet 's blowing whore
188,3,0,0,3,0,3,0,la sandy va dã­â©foncer n-y dans mã­ãˆme pa 10h mais qu'est-ce qui lui prend cette dingue cc sandy_waldorf
189,3,0,3,0,3,0,0,rt llfg247 least 80 flooded house destroyed nyc fire http //t.co/kpmhyska via usatoday absolutely horrible prayer family
190,3,0,0,3,0,3,0,sandy crap name hurricane 's scary
191,2,1,3,0,2,1,1,rt sophiabush 7.5 million_without power east_coast help redcross save life http //t.co/hejgsrba sandy
192,3,0,3,0,3,0,0,rt bergenctynews teaneck police officer injured sandy response teaneck police officer scene transformer fire ... http //t.co/bnwey42h
193,3,0,1,2,1,2,0,rt javimoya hoy o estã­ã§n colando multitud de fotomontajes del_huracã­ã§n sandy dais pena por fin una imagen 100 real de ny ahora http //t.co/vfvuwpoo
194,3,0,0,3,0,3,0,los dominicanos andan bebiendo brugal con sandy en eeuu
195,3,0,3,0,3,0,0,rt adammshankman 10 dollar volunteer let 's help fellow american american red_cross http //t.co/hgrfypon
196,3,0,0,3,0,3,0,rt worcesterprobz hurricane_sandy worcesterprobz
197,3,0,3,0,3,0,0,rt kerstinshamberg mta chairman 7 subway tunnel connect manhattan brooklyn queen 7 flooded nyc sandy
198,3,0,2,1,2,1,0,rt kristinalibby hurricane_sandy caused u close microtropolis time stay_safe
199,4,1,3,2,3,2,0,rt theonion new_jersey resident avoid rising floodwater climbing top chris christie http //t.co/oayqia5s sandy
200,2,1,3,0,2,1,1,rt matthewwprice focus nyc remember sandy killed 52 haiti situation could get worse http //t.co/5t2fwm91
201,1,2,0,3,0,3,0,rt patriotwriter nyc police stretched thin response hurricane_sandy resident seen freely roaming street drinking 20 oz soda sandy
202,3,0,1,2,1,2,0,rt faisalalmalki nyc destroyed city movie wish sandy set â™ãšâ™_â™âšâ™_â™âšã¸â±â™â€ ã¸â£â™â€ã¸â‚ã¸â± â™âƒã¸â¿â™_â™ãšã¸â© ã¸â¿â™âƒã¸â±ã¸ãˆ â™ââ™_ ã¸_â™â‹ã¸â£â™ââ™â‹ã¸_â™âƒ â™âã¸_â™âšâ™â‹â™âšã¸_ ã¸_â™â‹â™_â™âˆã¸_ http //t.co/3tn7f2wo
203,2,1,1,2,1,2,0,rt hurricannesandy hurricane_sandy ai_n't even scary name tho need terrifying name like hurricane shanaynay sum shit
204,2,2,1,3,0,4,0,rt piersmorgan hurricane jogger cnn brave tough macho heroic hard ... ... .so ... .unbelievably dumb sandy
205,3,0,3,0,3,0,0,rt jpchan mta video release hurricane_sandy south ferry/whitehall st station damage http //t.co/gv5afc7b mtainsider adamlisberg mta
206,2,1,0,3,0,3,0,rt an_voronova ã£â€ã£ã³_ã___ã__ sandy ã£âã£__âµ_____ã __ã£âˆ_âµ___âÿ_ã‡ã£ãš_âµ__ http //t.co/w0x1n5tp ã£â _ã‹______ã£âšã£ã « ã£_ youtube
207,3,0,2,1,2,1,0,rt mattmitovich basically `` omg '' sandy pic getting tweeted fake http //t.co/j9nwbsjw
208,2,1,0,3,0,3,0,dying hurricane_sandy tweet _ã´ã–â‰ lol
209,3,0,0,3,0,3,0,hurricane_sandy page 's tweet even funny ...
210,2,1,3,0,2,1,1,rt weatherchannel nyc crane_collapse camera http //t.co/q3kwk767 superstorm_sandy sandyny
211,2,2,2,2,1,3,0,'ve never seen washington square park empty like washingtonsquarepark nyc sandy aftermath http //t.co/b1f5ot8i
212,2,1,3,0,2,1,1,rt linkedgeekmedia sandy terrifying photo sandyã¤ã³â » aftermath uploaded social_medium victim http //t.co/t9dqep94 via linkedgeekmedia
213,2,1,0,3,0,3,0,nueva_york inundado canadã­ã§ sin luz huracan sandy maã­â±ana justin irã­ã§ canada
214,2,1,3,0,2,1,1,unreal 92 8th street manhattan building outer wall come hurricane_sandy http //t.co/dtx38n5m srsly real wtf
215,2,1,3,0,2,1,1,happened 50k homeless hurricane_sandy find latest blog post http //t.co/yv56ll76 homeless hiv
216,4,1,0,5,0,5,0,yoooo sandy 's deal baby u would n't b actin like u got baby
217,3,0,2,1,2,1,0,rt wfan660 report nets-knicks opener barclayscenter postponed due sandy http //t.co/a4ekuoyn cc660
218,2,1,0,3,0,3,0,si nyc ne tombait pa en ruine ã­ã¦ cause de cet ouragan ã­_a m'arrangerait histoire de pouvoir aller en fã­â©vrier.. sandy
219,3,0,0,3,0,3,0,_ã´_______ã‡_ã _âµã£âš_âµ ____ã£ã³___ã ____ ___âµã£â‰_âµã£ã³ _ã‹_ã‹ã£ãš sandy nyc http //t.co/6urdkkw8
220,2,1,2,1,2,1,0,hope nyc nj angle stay_safe hurricane_sandy 'm really scare
221,3,0,2,1,2,1,0,sandy aftermath worse math pulled trek wall rode 6 mile job ... ez ... traffic bad though
222,3,0,3,0,3,0,0,good idea rt eatboston got longer needed supply sandy prep please consider donating shelter food pantry
223,3,0,1,2,1,2,0,rt equipesandy equipesandy quero visitar camarim da sandy show rj 11/11 http //t.co/r3neyjud sandynorj
224,3,0,3,0,3,0,0,look caribbean death damage sandy look caribbean death damage hurricane_sandy ... http //t.co/zg9kenuo
225,2,1,2,1,2,1,1,sign normalcy return sandy woe persist major airport reopen nyc transit system make progress ... http //t.co/dsebzjwf
226,2,1,3,0,2,1,1,rt thescienceguy part climate_change story 's sandy http //t.co/iik3hnab
227,3,0,3,0,3,0,0,ã¤ã³ã¬ twc_hurricane hurricane_sandy 5 pm et 90 mph wind cat 1 940 mb moving wnw 28 mph http //t.co/2rn6tmdoã¤ã³â
228,3,0,2,1,2,1,0,rt srbachchan 916 negative remark made naming 'superstorm sandy hurricane typhoon named alphabetically time line
229,3,0,3,0,3,0,0,rt onemedical great advice everydayhealth safety tip eh hurricane_sandy clean http //t.co/qeoetdxb healthtalk
230,3,0,3,0,3,0,0,rt hc_sandy storm update hurricane_sandy 3-5 hour making landfall new_jersey expect hurricane force wind sandy
231,2,1,0,3,0,3,0,rt _lovefor758 im gon_na get fat house thanks sandy
232,3,0,2,1,2,1,0,rt adfreak americanapparel gap blasted hurricane_sandy ad fails http //t.co/jftagrd4
233,3,1,4,0,3,1,1,may able give blood donate money please try give one http //t.co/1yfkugzm sandy
234,2,1,0,3,0,3,0,furacã­â£o sandy vamo pula vamo pula vamo pula vamo pula
