item_id,not_eye_witness_in,not_eye_witness_out,informative_in,informative_out,y_in,y_out,y,tokens
44,3,1,0,4,0,4,0, sonoffratter soldier guarding tombunknown soldier hurricanesandy rage america  tcouubuvplj
45,7,0,6,1,6,1,0, huffingtonpost guy walked 2 mile save litter kitten sandy tcojsn2f5oe
46,2,1,1,2,1,2,0,take good care everyone s yet alert staysafe sandy
47,3,0,1,2,1,2,0,harryanxiety fgs sandy get together
48,1,2,3,0,1,2,1,hurricanesandy doublerainbow touch manhattan morning signaling end stormiest weather tcolusbbv4v
49,2,1,1,2,1,2,0,hopeeveryone near sandy ok  lt3 across sea xx
50,3,0,2,1,2,1,0, mmzarzosa eeuu vende ms pero tcojozvtlzz
51,2,1,3,0,2,1,1, skynewsbreak mayor newyork michael bloomberg say superstormsandy resulted 18 death nyc
52,3,0,2,1,2,1,0, djolder someone called em today nt like bed shelter gave folk  word sandy
53,3,0,2,1,2,1,0,send u hurricanesandy pic tcojila0xua
54,3,0,1,2,1,2,0,loved one nyc need let know m prayer aftermath hurricanesandy
55,2,1,1,2,1,2,0,bet skynews waiting hurricane hit nyc sandy
56,3,1,0,4,0,4,0, szadkowskim sandy le mdias en fontils trop sur le usa et pa du tout assez sur hati bcp de lecteurs lemondefr le pensent tcocftj7qin
57,3,0,3,0,3,0,0,yeeeeeaaahhh   statue liberty hurricanesandy photo go viral nyc real fake tcozitspxxg
58,3,1,4,0,3,1,1, justinking224  unreal essentially building power nyc right empirestate building sandy tcoscvhg8qh
59,3,0,1,2,1,2,0,godblessamerica sandy
60,3,0,1,2,1,2,0,fuck sandy
61,2,1,0,3,0,3,0,bersih2 nyc habis kenak sandy storm itu gimana yak udah 100 full water dah itu kota xx
62,1,2,2,1,1,2,0,question say bikeshare nt delayed  would rad subway substitute street full twisted metal sandy nyc
63,3,0,3,0,3,0,0,whoa rt danielpetty best wire photo hurricanesandy far tco8aehy8ht
64,2,1,0,3,0,3,0, ruthcalhoun weatherchannel must making killing remnant revenue today sandy
65,3,0,0,3,0,3,0, sahzdi sandy puntico de llegar nyc dios los proteja
66,1,2,2,1,1,2,1,watching sandy fucking empirestate
67,5,0,2,3,2,3,0, popsdc 5 fake hurricanesandy photo re sharing socialmedium tcopkiqfzsd
68,2,1,3,0,2,1,1, conanobrien redcross blood bank running low duehurricane sandy canceling blood drive find bank donate tcovfyilnrk
69,2,1,2,1,1,2,1,blueholdhole got grandma le headed back uptown hurricanesandy alphabetcity aftermath tcovtzhev5b
70,3,0,1,2,1,2,0,bussed nyc another show hurricanesandy u house arrest 3 day lose passport dont tell twila ouf trip
71,2,1,0,3,0,3,0,porn kind dick published aged pic tco4uetccue
72,3,0,1,2,1,2,0,teamautofollow videos ellie kemper talk marriage tcomxgdncft
73,2,1,1,2,1,2,0,fjrl m hungry w 3ndy akl yw99lo 3shan sandy elzft
74,3,0,2,1,2,1,0,presidential courage mitt romney refuse talk fema hurricanesandy event tcoqgfymeqf via huffpostpol
75,1,2,2,1,0,3,1, nystephiee crazy pic hurricanesandy sandy statueofliberty nyc storm damn wow rain instago photooftheday tco6ty6ova5
76,2,1,1,2,1,2,0,people inside hurricanesandy still blogging d probably
77,2,1,0,3,0,3,0, osisuave apparently song called sandy wud soon recorded
78,2,1,2,1,1,2,0, felixht everyone throw yolo around time better outside hurricanesandy hit toronto storm moneywheremouthis 2012
79,3,0,1,2,1,2,0,1st hurricanesandy arsenal hammered reading star war 7 staysafe everybody start end world 
80,3,0,1,2,1,2,0, stewiecricket piersmorgan ve survived hurricanesandy thankfully currently seem struggling hurricane reading
81,3,0,2,1,2,1,0,titusndronicus chance d radio sesh wrek atlanta tomorrow xl gonna set something sandy
82,2,1,1,2,0,3,0, isardasorensen rainbow today s nyc skyoffer glimpsehope hurricanesandy tconhq4tvvn
83,1,2,3,0,1,2,1, domingobacalao nyc sandy tco2ycc8te3
84,3,3,5,1,3,3,1, abcworldnews gate c34 laguardia airport mt jetblue recovering hurricanesandy tcorlsyyahs
85,3,0,1,2,1,2,0, pilurubio efectivamente ya estn todos listos en nyc para la llegada delhuracn sandy expectacin mxima tco6wz4xkeb
86,3,0,3,0,3,0,0,world vision fundraiser s state supply damaged hurricanesandy bad management waste money vulnerabile store
87,2,1,2,1,2,1,0,superstormsandy nyc pray united state america
88,3,1,0,4,0,4,0, jackiiexo hurricanesandy nt yo thang
89,3,0,3,0,3,0,0,life rt ceexruocco someone really made hurricanesandy twitter page tht shxt 130k follower
90,2,1,3,0,2,1,1,video confirmation lbi house least still standing area devastated lbi sandy tcoyhrdntt9
91,3,0,2,1,2,1,0, kgbt americanapparel receiving backlash latest promotion  company apologize sandy rgv tco4lcld9un
92,3,0,0,3,0,3,0, danielviotto1 meteorlogos creen que sandy tendr efectos devastadores
93,3,0,3,0,3,0,0, rdevro bloomberg say power could part nyc three day 750000 currently going without sandy
94,3,1,1,3,1,3,0, lordsugar piersmorgan piersy go stand top empirestate building start waffling hot air deflect sandy
95,3,0,1,2,1,2,0,milkmaid58 anglopp say irish mad   sandy nyc tcogyqv0ob5
96,2,1,0,3,0,3,0, swizzy4l sandy aint real 
97,3,0,1,2,1,2,0,sandy     blow  important thing like screaming arsenal fc
98,3,0,3,0,3,0,0, brendlewhat thanksdonald rt realdonaldtrump challenge fellow billionaire match donation 5m hurricanesandy reliefeffort
99,2,1,1,2,1,2,0,hurricane starting turn sugary sweet sandy sugar high tummy ache thanks tabifit
100,3,0,3,0,3,0,0,cnn trending us stick u sandy coverage
101,2,1,3,0,2,1,1,storm aftermath live update live update aftermath storm tcoh7kqkurs
102,3,0,0,3,0,3,0, sandy baby re one make government much fun    megancarter
103,7,0,3,4,3,4,0, democracynow newjersey s oyster creek nuclear power plant design even older fukushima daiichi tco0izzziwy sandy
104,1,2,3,0,1,2,1, huffingtonpost gov cuomo hudson river literally pouring ground zero site sandy nyc
105,3,0,1,2,1,2,0,hurricanesandy safehouse tcoiecsmg5o
106,2,1,3,0,2,1,1,sandy death toll climb 38 million affected storm s devastation editor s note click  play  button  tcosyplnusw
107,3,0,1,2,1,2,0, ericmtownsend tree fall nyc least 50 people nt stop instagram tree really fall sandy
108,4,0,4,0,4,0,0,limited train service resuming nyc superstormsandy cbs news national geographiclimited train servic  tcozuqzbrxt
109,2,1,0,3,0,3,0, cnnee rescatan persona de los techos de casas rodantes en nuevajersey tcog8n0gjqi sandy
110,3,0,1,2,1,2,0,concerned nyc eastcoast friend staysafe nt let sandy bully
111,3,0,3,0,3,0,0,evanrizz town talking please everybody please tell u town see power jcpl sandy
112,3,0,0,3,0,3,0, mr2157 ms de 175000 persona estn sin luz en nuevayork sandy
113,3,0,3,0,3,0,0,dealing aftermath hurricanesandy tco6d6mtsl4
114,4,1,5,0,4,1,1,volunteer redcross aid result hurricanesandy
115,3,1,0,4,0,4,0,svmelb istub enig hadde ikke flere tegn igjen og det s  dermed ut som jeg konkluderte sandy sikrer dette obama det gjr ikke
116,3,0,2,1,2,1,0, aravosis gop house candidate s campaign manager tried spread panic w false rumor sandy twitter lastnight tcocx55lfxg
117,3,0,3,0,3,0,0, forbes hurricanesandy put 87 billion worth home risk tcos7jmycna
118,2,1,3,0,2,1,1,thing getting pretty wild  sandy nyc tcoxtxuuvvo
119,3,0,1,2,1,2,0,aftermath hurricanesandy thought community employee affected storm
120,3,0,3,0,3,0,0, hurricanesandyw every 100 retweets donating 1000 help rebuilt community damaged hurricanesandy please retweet
121,5,1,6,0,5,1,1, un unhq nyc closed tuesday duehurricane sandy info tco0p90ezia photo tcovt8wl9rx
122,3,0,0,3,0,3,0, myabyafofiya ayyy pool party tonight front door hosted hurricanesandy music rain drop dj thunder turnup
123,4,0,4,0,4,0,0,superstormsandy flood fire dozen home burning rockaways 200 firefighter 6 alarm blaze li house fire smell gasoline
124,6,1,6,1,6,1,1,sandyhit area struggle resume daily life cbs news tcoaaator0w topstories
125,3,0,0,3,0,3,0,guaoooo sustoooo rt sahzdi impresionante esta foto delhuracn sandy acercndose nyc   gt tcol8ithklq
126,2,1,0,3,0,3,0, hasanise ldrc kasrga sandyn akm
127,2,1,2,1,2,1,1, suehorner sandy surgery starbucks today s iabctoronto twitter news tcoinuow5w8
128,2,1,0,3,0,3,0,creo lo de los tiburones en la calles elmetro del estado de ny tras sandy jams en la vida
129,3,0,2,1,2,1,0, frankcaro por fin una foto real de lo que esta pasando en nyc con elhuracn sandy tcobthbr8sj
130,3,0,0,3,0,3,0,amberlynnr re welcome u ok hurricanesandy able watch dwts
131,6,1,6,1,6,1,1, peoplemag sandy hero nurse rescued newborn hurricane hit nyc hospital lost power tcoqp8tshoe
132,3,0,1,2,1,2,0, sandy  around lately make goalie puke cry justgoalie whatstorm
133,3,0,3,0,3,0,0,sun charity volunteer ushers post hurricanesandy cleanup washington dc mqmusa tcolndzk3qy
134,1,2,2,1,1,2,0, theonion lone doofus waiting 36 hour next c train tcocjplwdb8 sandy
135,4,1,2,3,2,3,0, javimoya espectacular foto de sandy desde la estacin espacial internacional esta vez e fake e de astromarshburn tcozgw8vz4j
136,3,0,3,0,3,0,0, bbckimghattas continue 2 cover aftermath sandy u important remember storm wreaked havoc caribbean killed 66ppl
137,4,0,3,1,3,1,0,newyorkpost apple store get sand bagged meatpacking dristict hurricanesandy nyc tcomfbg5fzz
138,2,1,0,3,0,3,0, sparksnicholas m praying terribly affected sandy  terrible storm
139,3,0,0,3,0,3,0,nyc absolutely way draw tcoek85jfof
140,3,0,2,1,2,1,0, katiecouric halloween postponed canceled area due sandy celebrating today trick treater 
141,2,1,0,3,0,3,0, ant917 real newyork nt looklike people island  exactly nyc sandy tco82hjytia
142,3,0,3,0,3,0,0, sandyhuricane hurricanesandy weather tcofdqmbhrl
143,3,0,2,1,2,1,0,everybody please safe cause hurricanesandy aint playn game gt philadelphia philly newjersey nj newyork nyc
144,2,1,2,1,2,1,0,beansunny fema bad gop saying great thing dealing sandy church giving bible homeless useful
145,2,1,0,3,0,3,0, kidlogik wish ollie williams could live coverage hurricanesandy
146,2,1,1,2,1,2,0,tech tip mashable medium summit rescheduled duehurricane sandy tcohojrwbgv
147,2,1,1,2,1,2,0, baratunde nyc nbc4 showing footage man ocean jet ski evolution incomplete frankentunde sandy
148,2,1,3,0,2,1,1, fdnyemswebsite s close photo broken crane duehurricane sandy nyc fdny nypd responded tcomwfkrtny
149,3,0,0,3,0,3,0, globovision envideo declaran como zona catastrfica reas de nuevayork nueva jersey afectadas por  sandy  tcotcv3m4uv
150,4,1,4,1,4,1,1,nyc life come back  taxi traffic sanitation dept equipment clean fdr drive open 5ft water lastnight sandy
151,4,0,3,1,3,1,0,unfuckingbelievablemichael brown exfema head advice criticism obama hurricanesandy tcoiciooisx via denverwestword
152,4,0,4,0,4,0,0, nbcnewyork breaking sandy 40 mile newjersey wind water swell sandynj tcoseqmlfv3
153,2,1,1,2,1,2,0, hassidiclife truefact rt tedfrank half hour cnn watching provides le information reading good set twitter feed 5 minute sandy
154,2,1,3,0,2,1,1,cyntroe we ve sandy s remnant lake mid 30 s real windy  some snow wsleetrain  
155,2,1,0,3,0,3,0,joshuamorrowyr u today josh s name reallywe nyc made thru sandy hw bout rt
156,4,1,2,3,2,3,0, maureenjohnson mj storm update cnn sent leastloved reporter wave atlanticcity die sacrifice must made every major storm sandy
157,3,0,2,1,2,1,0, xhurricanesandy film 2012new york flooded october world ended s october s 2012new york flooded sandy
158,3,0,0,3,0,3,0,hopeeveryone okay part hurricanesandy hit sandy
159,1,2,1,2,0,3,0,liveblogging sandy tcoic79lmdr via storify
160,3,0,3,0,3,0,0, peoplemag sandy hero nurse rescued newborn hurricane hit nyc hospital lost power tcoupb0fsrs kg1025
161,3,0,0,3,0,3,0, e1000r1 sil de inondations  nyc il faut leur envoyer fabrice ebou badoumtsssssssssss sandy
162,5,0,0,5,0,5,0,stranded nyc right d gathering many speaker amplifier possible d nuke rem s endoftheworld sandy
163,3,0,2,1,2,1,0, lizgillies feel like everyone forgot halloween wench sandy ruined everyone
164,4,0,1,3,1,3,0,sandy differentiating real fake theatlantic tcogdpuwoiy
165,3,1,1,3,1,3,0,calling give sandy update yikes
166,4,0,4,0,4,0,0,sandy already made record book lowest pressure safe everyone east mainly ri pa nyc nj steer clear coast
167,3,0,0,3,0,3,0,god cease sandy bless affected storm
168,2,1,1,2,1,2,0,tylercicardo aw tyler cause hurricanesandy dumb blonde lol
169,3,0,0,3,0,3,0, shannonleto thought nyceast coast everyone else affectedhurricane sandy
170,3,0,1,2,1,2,0,tco38eam45l        kuwait saudi sandy sex ksa egypt bahrain tcozc5vdlfq
171,3,0,0,3,0,3,0, michelledbeadle want u sandy rt weasle81 looklike eastcoast sandy worry tcofhcr3ret
172,2,1,2,1,2,1,1, misskalia sandy killed 67 people caribbean left 200000 homeless haiti yet news focused ny poor nt count right
173,2,1,3,0,2,1,1,google crisis map link great series map showing sandy poweroutage tcoypuld6dj
174,3,0,3,0,3,0,0,much damage near except billboard took spill sandy tcok4rnyqgx
175,3,0,0,3,0,3,0, iconiacgenni thank sandy making thousand iconiacz bawl eye day ripiconicbench 
176,3,0,3,0,3,0,0, ckanal sandy rt nyscanner manhattan fdny one world trade center crane top freedom tower broken
177,3,0,1,2,1,2,0, rqry hurricane shaniqua would much better name hurricanesandy
178,3,3,6,0,3,3,1,created timelapse hurricanesandy passing 42nd 10th newyork tcon188sbx0
179,4,2,3,3,1,5,0, sandyhuricane rainbow today s nyc skyoffer glimpsehope hurricanesandy tcovgspdfmw
180,2,1,0,3,0,3,0,mom start dancing like  yeah sandy come get  
181,3,0,3,0,3,0,0, mittromney continued prayer affected sandy support redcross textredcross 90999 visit tcooepuxjmo
182,1,2,0,3,0,3,0,breeze ras blow outadoor wonder sandy waah touch toronto mi call work tmrw sigh
183,3,0,3,0,3,0,0,flooding poweroutage continue cause blood drive cancellation area sandy impacted check tcowrlbuw6f open site
184,2,1,1,2,1,2,0,globalexc declara obama desastre en ny nueva jersey suman 16 muertos en eu por paso de sandy tcon6njsvc7 tcop1eu1hsb
185,3,0,0,3,0,3,0, iamdiddy praying everyone effected sandy godbless tcoqjlc4ujr
186,3,0,0,3,0,3,0,pablomckinney viendo tv de nuestro pas que cursis algunos  comunicadores  tratando de manipular la comunidad de ny con sandy
187,2,1,0,3,0,3,0, causeitsthecup hurricanesandy wet s blowing whore
188,3,0,0,3,0,3,0,la sandy va dfoncer ny dans mme pa 10h mais questce qui lui prend cette dingue cc sandywaldorf
189,3,0,3,0,3,0,0, llfg247 least 80 flooded house destroyed nyc fire tcokpmhyska via usatoday absolutely horrible prayer family
190,3,0,0,3,0,3,0,sandy crap name hurricane s scary
191,2,1,3,0,2,1,1, sophiabush 75 millionwithout power eastcoast help redcross save life tcohejgsrba sandy
192,3,0,3,0,3,0,0, bergenctynews teaneck police officer injured sandy response teaneck police officer scene transformer fire  tcobnwey42h
193,3,0,1,2,1,2,0, javimoya hoy o estn colando multitud de fotomontajes delhuracn sandy dais pena por fin una imagen 100 real de ny ahora tcovfvuwpoo
194,3,0,0,3,0,3,0,los dominicanos andan bebiendo brugal con sandy en eeuu
195,3,0,3,0,3,0,0, adammshankman 10 dollar volunteer let s help fellow american american redcross tcohgrfypon
196,3,0,0,3,0,3,0, worcesterprobz hurricanesandy worcesterprobz
197,3,0,3,0,3,0,0, kerstinshamberg mta chairman 7 subway tunnel connect manhattan brooklyn queen 7 flooded nyc sandy
198,3,0,2,1,2,1,0, kristinalibby hurricanesandy caused u close microtropolis time staysafe
199,4,1,3,2,3,2,0, theonion newjersey resident avoid rising floodwater climbing top chris christie tcooayqia5s sandy
200,2,1,3,0,2,1,1, matthewwprice focus nyc remember sandy killed 52 haiti situation could get worse tco5t2fwm91
201,1,2,0,3,0,3,0, patriotwriter nyc police stretched thin response hurricanesandy resident seen freely roaming street drinking 20 oz soda sandy
202,3,0,1,2,1,2,0, faisalalmalki nyc destroyed city movie wish sandy set         tco3tn7f2wo
203,2,1,1,2,1,2,0, hurricannesandy hurricanesandy aint even scary name tho need terrifying name like hurricane shanaynay sum shit
204,2,2,1,3,0,4,0, piersmorgan hurricane jogger cnn brave tough macho heroic hard   so  unbelievably dumb sandy
205,3,0,3,0,3,0,0, jpchan mta video release hurricanesandy south ferrywhitehall st station damage tcogv5afc7b mtainsider adamlisberg mta
206,2,1,0,3,0,3,0, anvoronova  sandy   tcow0x1n5tp     youtube
207,3,0,2,1,2,1,0, mattmitovich basically  omg  sandy pic getting tweeted fake tcoj9nwbsjw
208,2,1,0,3,0,3,0,dying hurricanesandy tweet  lol
209,3,0,0,3,0,3,0,hurricanesandy page s tweet even funny 
210,2,1,3,0,2,1,1, weatherchannel nyc cranecollapse camera tcoq3kwk767 superstormsandy sandyny
211,2,2,2,2,1,3,0,ve never seen washington square park empty like washingtonsquarepark nyc sandy aftermath tcob1f5ot8i
212,2,1,3,0,2,1,1, linkedgeekmedia sandy terrifying photo sandy  aftermath uploaded socialmedium victim tcot9dqep94 via linkedgeekmedia
213,2,1,0,3,0,3,0,nuevayork inundado canad sin luz huracan sandy maana justin ir canada
214,2,1,3,0,2,1,1,unreal 92 8th street manhattan building outer wall come hurricanesandy tcodtx38n5m srsly real wtf
215,2,1,3,0,2,1,1,happened 50k homeless hurricanesandy find latest blog post tcoyv56ll76 homeless hiv
216,4,1,0,5,0,5,0,yoooo sandy s deal baby u would nt b actin like u got baby
217,3,0,2,1,2,1,0, wfan660 report netsknicks opener barclayscenter postponed due sandy tcoa4ekuoyn cc660
218,2,1,0,3,0,3,0,si nyc ne tombait pa en ruine  cause de cet ouragan a marrangerait histoire de pouvoir aller en fvrier sandy
219,3,0,0,3,0,3,0,      sandy nyc tco6urdkkw8
220,2,1,2,1,2,1,0,hope nyc nj angle staysafe hurricanesandy m really scare
221,3,0,2,1,2,1,0,sandy aftermath worse math pulled trek wall rode 6 mile job  ez  traffic bad though
222,3,0,3,0,3,0,0,good idea rt eatboston got longer needed supply sandy prep please consider donating shelter food pantry
223,3,0,1,2,1,2,0, equipesandy equipesandy quero visitar camarim da sandy show rj 1111 tcor3neyjud sandynorj
224,3,0,3,0,3,0,0,look caribbean death damage sandy look caribbean death damage hurricanesandy  tcozg9kenuo
225,2,1,2,1,2,1,1,sign normalcy return sandy woe persist major airport reopen nyc transit system make progress  tcodsebzjwf
226,2,1,3,0,2,1,1, thescienceguy part climatechange story s sandy tcoiik3hnab
227,3,0,3,0,3,0,0, twchurricane hurricanesandy 5 pm et 90 mph wind cat 1 940 mb moving wnw 28 mph tco2rn6tmdo
228,3,0,2,1,2,1,0, srbachchan 916 negative remark made naming superstorm sandy hurricane typhoon named alphabetically time line
229,3,0,3,0,3,0,0, onemedical great advice everydayhealth safety tip eh hurricanesandy clean tcoqeoetdxb healthtalk
230,3,0,3,0,3,0,0, hcsandy storm update hurricanesandy 35 hour making landfall newjersey expect hurricane force wind sandy
231,2,1,0,3,0,3,0, lovefor758 im gonna get fat house thanks sandy
232,3,0,2,1,2,1,0, adfreak americanapparel gap blasted hurricanesandy ad fails tcojftagrd4
233,3,1,4,0,3,1,1,may able give blood donate money please try give one tco1yfkugzm sandy
234,2,1,0,3,0,3,0,furaco sandy vamo pula vamo pula vamo pula vamo pula
235,2,1,0,3,0,3,0, miilkkk hurricanesandy would nt patrick would ve stopped making fun texas 
236,2,1,0,3,0,3,0,e vedrai che questi la maratona la fanno lo stesso troppo orgogliosi perch una sandy qualsiasi li fermi  nyc marathon
237,3,0,3,0,3,0,0,barack obama sandy fallout  want cut red tape 
238,2,3,2,3,1,4,0,re live nyc monitoring sandy s destruction plus s cold record cool wftvdaybreak
239,4,0,1,3,1,3,0, timtebow thoughtprayer go everyone effected hurricanesandy please safe help difficult time
240,2,1,2,1,1,2,1, nydailynews set watch 8 pm s sandy unleash furious wave newyork city tcosoe3zq3s
241,5,0,5,0,5,0,0, wsj presidentobama head newjersey wednesday survey damage left wake sandy tco90rvanxb
242,2,1,0,3,0,3,0, snooki bring sandy   sandyshurricane m coming snooki little oompa loompa
243,2,1,2,1,2,1,0,dudeperfect pic sandy top 10 photo s circulated sandy one
244,3,0,1,2,1,2,0,hurricane sandy completesarcasm
245,3,1,0,4,0,4,0, johnmaclt hurricanesandy totally making mess fabulous hair essenceofsuperredundancy
246,3,0,1,2,1,2,0, llcoolj prayer offered affectedhurricane sandy staysafe
247,4,1,5,0,4,1,1,hurricanesandy newyork expects record poweroutage utility company brace worst tcohcdnqujq
248,3,0,0,3,0,3,0,hey sandy wait
249,1,2,2,1,1,2,1, jaydensonnyc city island s lobster house post storm sandy sandycuj bronx nyc tcocukvd1wh
250,3,0,1,2,1,2,0, jimbradysp bloomberg informed sandy yet cant bring water nyc increment larger 16 ounce
251,2,1,0,3,0,3,0, miketorruco impactante huracn sandy arrastra 2 tiburones hasta elmetro de newjersey tcoavgaorr2
252,3,0,0,3,0,3,0,sandy chick make cant go computer im gonna get mad grandma coolest
253,3,1,3,1,3,1,0,ten million scramble unprecedented freak storm tcowc3s9rws
254,2,1,0,3,0,3,0,cierto sandy pas por hait cuba el mundo ni pendiente
255,2,1,2,1,1,2,1,sandy rt abc breezy point fire video 50 home ablaze queensnyc tcoijeawzcb
256,4,0,0,4,0,4,0, tuiterhits increible foto real delhuracn sandy esta tarde en newyork timesquare por primera vez vaco en dcadas tcozh9jmpvb
257,3,0,3,0,3,0,0,announcement tco4q2motgw office close tomorrow tuesday due sandy naughty hurricane pupstyle
258,3,0,2,1,2,1,0, ml thought go affectedhurricane sandy help tcotjmhe769
259,2,1,2,1,2,1,1, huffingtonpost mayorbloomberg  severe part storm beginning  sandy
260,3,0,3,0,3,0,0, wnyc fixitinpost42 brokelyn nt seem like need stuff mainly people money list help tcoirlyqfyx
261,3,0,0,3,0,3,0, waelabbas              sandy
262,2,1,0,3,0,3,0,rodner sabe cuan dificil e para una madre saber que su hijo esta en un potencial peligrocomo lo e sandy rauldemolina
263,3,0,0,3,0,3,0, newyorkmagpie biggest blowhard nyc sandy donald trump
264,4,0,3,1,3,1,0, stephanieesaid rip 29 people died bc hurricanesandy  
265,4,0,1,3,1,3,0, topbibleverses spirit strongly intercedes u loudshouted groan roman 826 intercede victim hurricanesandy
266,4,1,3,2,3,2,1, everythingnyc rainbow today s nyc skyoffer glimpsehope hurricanesandy tcor4gfccxs via isardasorensen
267,2,1,2,1,2,1,0, fillwerrell anyone affectedhurricane sandy text 311692 info help please rt could possibly save life tcorfosa3em
268,3,0,0,3,0,3,0, rockycofficial prayer everyone path hurricanesandy   may storm soon pas
269,3,0,1,2,1,2,0,lls people making hurricanesandy worst really liek stfupp
270,3,0,1,2,1,2,0,yes like  cold front  rt lamling looking sandy s great tier 2 hurricanerelated vocab word ll use wmy kiddos
271,2,1,1,2,1,2,0, jkbeitz amazing people mt newyorker one girl s story leaving nyu langone medical center sandy tcoar7uaa3z
272,3,0,0,3,0,3,0,m really goody goody embarrassed rave ny s sandy loss reading syria s
273,3,0,0,3,0,3,0,hi hurricanesandy  tcodzt3q4zo
274,2,1,1,2,1,2,0,even though cancel sale today duehurricane sandy sister auction manheim newyork  tco0itnlxub
275,3,0,0,3,0,3,0, vanillaice heartgo victim hurricanesandy
276,3,0,0,3,0,3,0, sandychekss pengen kebab uy 
277,1,2,1,2,0,3,0, joeyboots one world trade corner hope crane top make storm hurricanesandy sandy nyc tcox9v77qjm
