text,oa_predicate,study_predicate,Y,abstract_structured
"Discontinued Information and Communication Technology Usage among Older Adults in Continuing Care Retirement Communities in the United States. Background: Older adults are increasingly using information and communication technologies (ICTs). Recent studies show beneficial effects of using ICTs for older adults, particularly in terms of reducing loneliness and depression. However, little is known about the factors that may prevent discontinued ICT use in populations that may be at greater risk, such as those in continuing care retirement communities (CCRCs). Objectives: The purpose of this study is to examine a range of factors that may influence discontinued (1) ICT use, (2) searching for health information, and (3) searching for general information over time among CCRC residents. Methods: We use longitudinal data from a randomized controlled trial conducted with residents of 19 CCRCs. We use flexible parametric models to estimate the hazard ratio or hazard rate over 5 waves of data to determine what factors significantly predict discontinued (1) ICT use, (2) health information searching, and (3) general information searching. Results: The analysis reveals that independent living residents who took part in an 8-week ICT training intervention were less likely to stop using ICTs. Age and the number of instrumental activities of daily living (IADL) impairments significantly predicted an increased likelihood of stopping ICT use. When examining specific ICT-related activities, the analysis reveals that independent living residents who took part in the ICT training intervention were less likely to stop searching for health information and general information online. In addition, age and the number of IADL impairments were associated with increased likelihood of discontinued health information searches and discontinued general information searches. Conclusion: ICT training interventions may motivate residents of CCRCs to stay connected by increasing the ICT skill level and promoting confidence, thus decreasing the probability that they will discontinue using ICTs and searching for general information. However, the effects of ICT training on motivating continued ICT usage may be more pronounced among independent living residents. Limitations in the number of IADL impairments is a key factor leading to discontinued use of ICTs among CCRC residents, suggesting that designers of ICTs should be cognizant of the cognitive and physical limitations among this group. © 2017 S. Karger AG, Basel. Copyright: All rights reserved.",1,1,1,1
"Internet use, social networks, loneliness, and quality of life among adults aged 50 and older: mediating and moderating effects. Background: The increase in longevity of people on one hand, and on the other hand the fact that the social networks in later life become increasingly narrower, highlights the importance of Internet use to enhance quality of life (QoL). However, whether Internet use increases or decreases social networks, loneliness, and quality of life is not clear-cut. Purposes: To explore the direct and/or indirect effects of Internet use on QoL, and to examine whether ethnicity and time the elderly spent with family moderate the mediation effect of Internet use on quality of life throughout loneliness. Methods: This descriptive-correlational study was carried out in 2016 by structured interviews with a convenience sample of 502 respondents aged 50 and older, living in northern Israel. Bootstrapping with resampling strategies was used for testing mediation a model. Results: Use of the Internet was found to be positively associated with QoL. However, this relationship was mediated by loneliness, and moderated by the time the elderly spent with family members. In addition, respondents’ ethnicity significantly moderated the mediation effect between Internet use and loneliness. Conclusions: Internet use can enhance QoL of older adults directly or indirectly by reducing loneliness. However, these effects are conditional on other variables. The indirect effect moderated by ethnicity, and the direct effect moderated by the time the elderly spend with their families. Researchers and practitioners should be aware of these interactions which can impact loneliness and quality of life of older persons differently. © 2017, Springer International Publishing AG, part of Springer Nature.",0,0,0,1
"Comparing daily drivers of problem drinking among older and younger adults: An electronic daily diary study using smartphones. Background: By 2030, numbers and proportions of older adults with substance-use problems are expected to increase. While risk factors for problem drinking in late life have been identified, it remains unknown whether these factors drive daily drinking among older problem drinkers. This study examined the daily drivers of drinking among problem drinkers, moderated by age, utilizing ecological momentary assessment (EMA). Method: Participants (N = 139), ages 20–73, received daily EMA online surveys completed via a smartphone prior to initiation of treatment. Multilevel modeling tested the moderating impact of age on within- and between-person relationships between drinking and focal predictors (mood, loneliness, boredom, stress, poor sleep, social factors, alcohol salience, commitment and confidence not to drink heavily). Results: Older adults reported greater alcohol consumption when daily boredom levels were higher. Heavier drinking among younger adults was associated with poorer sleep quality. Greater daily confidence, daily commitment and daily alcohol salience did not impact drinking to the same extent for older adults as for younger adults. Greater person-level commitment predicted reduced drinking equivalently across age, but low person-level commitment predicted greater drinking among older adults compared to their younger counterparts. Conclusion: Older adults may have unique daily drivers of drinking that are not fully realized in current research and intervention efforts. Addressing the growing substance-use treatment needs among this population will require identifying the unique drivers of drinking among older adults, such as boredom, when compared to younger adults. © 2018 Elsevier B.V.",0,0,0,1
"ROBIN, a Telepresence Robot to Support Older Users Monitoring and Social Inclusion: Development and Evaluation. Introduction: This article describes an enhanced telepresence robot named ROBIN, part of a telecare system derived from the GIRAFFPLUS project for supporting and monitoring older adults at home. ROBIN is integrated in a sensor-rich environment that aims to continuously monitor physical and psychological wellbeing of older persons living alone. The caregivers (formal/informal) can communicate through it with their assisted persons. Long-term trials in real houses highlighted several user requirements that inspired improvements on the robotic platform. The enhanced telepresence robot was assessed by users to test its suitability to support social interaction and provide motivational feedback on health-related aspects. Methods: Twenty-five users (n = 25) assessed the new multimodal interaction capabilities and new communication services. A psychophysiological approach was adopted to investigate aspects like engagement, usability, and affective impact, as well as the possible role of individual differences on the quality of human-robot interaction. Results: ROBIN was overall judged usable, the interaction with/through it resulted pleasant and the required workload was limited, thus supporting the idea of using it as a central component for remote assistance and social participation. Open-minded users tended to have a more positive interaction with it. Conclusions: This work describes an enabling technology for remote assistance and social communication. It highlights the importance of being compliant with users' needs to develop solutions easy to use and able to foster their social connections. The role of personality appeared to be relevant for the interaction, underscoring a clear role of the service personalization. © Copyright 2018, Mary Ann Liebert, Inc. 2018.",1,0,0,1
"Energy efficient wearable sensor node for IoT-based fall detection systems. Falls can cause serious traumas such as brain injuries and bone fractures, especially among elderly people. Fear of falling might reduce physical activities resulting in declining social interactions and eventually causing depression. To lessen the effects of a fall, timely delivery of medical treatment can play a vital role. In a similar scenario, an IoT-based wearable system can pave the most promising way to mitigate serious consequences of a fall while providing the convenience of usage. However, to deliver sufficient degree of monitoring and reliability, wearable devices working at the core of fall detection systems are required to work for a prolonged period of time. In this work, we focus on energy efficiency of a wearable sensor node in an Internet-of-Things (IoT) based fall detection system. We propose the design of a tiny, lightweight, flexible and energy efficient wearable device. We investigate different parameters (e.g. sampling rate, communication bus interface, transmission protocol, and transmission rate) impacting on energy consumption of the wearable device. In addition, we provide a comprehensive analysis of energy consumption of the wearable in different configurations and operating conditions. Furthermore, we provide hints (hardware and software) for system designers implementing the optimal wearable device for IoT-based fall detection systems in terms of energy efficiency and high quality of service. The results clearly indicate that the proposed sensor node is novel and energy efficient. In a critical condition, the wearable device can be used continuously for 76 h with a 1000 mAh li-ion battery. © 2017 Elsevier B.V.",0,0,0,0
"Associations of Environmental Factors with Quality of Life in Older Adults. Purpose of the Study: Environmental factors play an important role in the quality of life of older people who often have difficulty maintaining physical, psychological, and social functioning. In this study, we aimed at (a) developing a measurement instrument assessing the factors of older adults' perceptions of their environment, (b) examining the associations of these environmental factors with quality of life domains physical health, psychological, social relations, and environmental, controlling for background characteristics. Design and Methods: Associations between environmental factors and quality of life domains were examined in a crosssectional study using a sample of 1,031 Dutch people aged 65 years and older. Participants completed a Web-based questionnaire, the ""Senioren Barometer."" Forty-two questions on environmental factors were asked, and quality of life domains were assessed by the WHOQOL-BREF. Results: Seven scales (comprising 3-9 items) of environment were constructed-housing, facilities, nuisance, residents, neighborhood, stench/noise, and traffic. All quality of life domains (physical, psychological, social, environmental) were associated with at least one environmental scale. Housing, residents, and nuisance were associated with 4, 3, and 2 domains, respectively. Facilities, neighborhood, stench/noise, and traffic were associated only with quality of life environmental. Implications: This study showed that multiple environmental factors are associated with quality of life in older people. To support independent living in older people health and social care professionals and policymakers may need to carry out interventions, in particular focusing on housing, residents, and nuisance. © 2017 The Author(s). Published by Oxford University Press on behalf of The Gerontological Society of America. All rights reserved.",1,0,0,1
"The effectiveness of a web 2.0 physical activity intervention in older adults - a randomised controlled trial. Background: Interactive web-based physical activity interventions using Web 2.0 features (e.g., social networking) have the potential to improve engagement and effectiveness compared to static Web 1.0 interventions. However, older adults may engage with Web 2.0 interventions differently than younger adults. The aims of this study were to determine whether an interaction between intervention (Web 2.0 and Web 1.0) and age group (<55y and ≥55y) exists for website usage and to determine whether an interaction between intervention (Web 2.0, Web 1.0 and logbook) and age group (<55y and ≥55y) exists for intervention effectiveness (changes in physical activity). Methods: As part of the WALK 2.0 trial, 504 Australian adults were randomly assigned to receive either a paper logbook (n = 171), a Web 1.0 (n = 165) or a Web 2.0 (n = 168) physical activity intervention. Moderate to vigorous physical activity was measured using ActiGraph monitors at baseline 3, 12 and 18months. Website usage statistics including time on site, number of log-ins and number of step entries were also recorded. Generalised linear and intention-to-treat linear mixed models were used to test interactions between intervention and age groups (<55y and ≥55y) for website usage and moderate to vigorous physical activity changes. Results: Time on site was higher for the Web 2.0 compared to the Web 1.0 intervention from baseline to 3months, and this difference was significantly greater in the older group (OR = 1.47, 95%CI = 1.01-2.14, p = .047). Participants in the Web 2.0 group increased their activity more than the logbook group at 3months, and this difference was significantly greater in the older group (moderate to vigorous physical activity adjusted mean difference = 13.74, 95%CI = 1.08-26.40min per day, p = .03). No intervention by age interactions were observed for Web 1.0 and logbook groups. Conclusions: Results partially support the use of Web 2.0 features to improve adults over 55s' engagement in and behaviour changes from web-based physical activity interventions. Trial registration: ACTRN ACTRN12611000157976 , Registered 7 March 2011. © 2018 The Author(s).",0,1,0,1
"Facebook Use and Its Role in Shaping Access to Social Benefits among Older Adults. Adults who are 65 years or older have increasingly adopted social network sites (SNSs), Facebook in particular. Yet the ramifications of SNS use in this population remain understudied. Using a nationally representative sample of U.S. adults (N = 2,003), this study focuses on Facebook users (N = 1,138) and examines patterns of Facebook use by younger (aged 18–65 years) and older users (aged 65 or older), as well as the social benefits associated with older users’ Facebook use. Findings show that older users have different network structures, but the frequency of their visits and engagement in Social Media Relationship Maintenance Behaviors (SMRMB), a measure of perceived likelihood to engage with others via social media, do not significantly differ from those of younger users. Moreover, our results suggest that among older users (N = 98), the number of self-reported “actual” friends on Facebook and SMRMB positively predict perceived support, while SMRMB contributes to perceptions of access to useful information. Overall, the study highlights unique usage patterns and social benefits associated with Facebook use among older adults. As such, its findings provide insights for the future design of technological interventions to help older adults better access social benefits associated with SNS use. © 2018 Broadcast Education Association.",1,0,0,0
"A traceable threshold attribute-based signcryption for mHealthcare social network. With the rapid development of wireless sensor technologies, mobile healthcare social network (MHSN) built upon wireless body sensor network (WBSN), has evolved into an innovative next-generation healthcare system in our aging society. Nevertheless, it is vital to focus on the security issues and the tradeoff between privacy preserving and traceability. A novel security mechanism named as the traceable threshold attribute-based signcryption (TTABSC) can permits patients to be friends and make a proper tradeoff between privacy and traceability. The proposed scheme leverages a four-party model to prevent the leak of a patient's sensitive information, including symptom information, identity and patient's health information (PHI). Combining the digital signatures and encryption, we provide a series of performance analysis, including correctness, unforgeability, traceability and privacy. Compared with previous works, our most efficient scheme generates a constant signcryption size. © Copyright 2018 Inderscience Enterprises Ltd.",0,0,0,0
"User needs and preferences on AAL systems that support older adults and their carers. This article describes a systematic investigation on the expectations of potential users of Ambient Assisted Living (AAL) technologies.More specifically it describes the efforts made to elicit users expectations for services of an AAL system that aims to both monitor older people fostering their independent living and preventing dangerous situations and also offers a valid help to their caregivers. The specific target of our work is older adults, with no critical pathological conditions, who wish to stay home as long as possible. The work proposes a plan for a rigorous systematization of the users needs and their validation based on a combination of qualitative and quantitative research techniques involving both the primary users (older users at home) and the secondary users (formal and informal caregivers) who constitute the network of persons around them. Four main areas relevant to the realization of personalized services have been identified that could help to support independent living and improve Quality of Life (QoL) which include the monitoring of Social Interaction, Physiological Data, Daily Activities and Environmental Data. The presented results are also consistent with the global theoretical framework of International Classification of the Functioning, Disability and Health (ICF) which highlights the main factors contributions to independent living. This study also investigates the perceived usefulness and acceptance of specific services (considering both primary and secondary users perspective) that have been listed inside each category with the aim to indicate a clear priority level and preferences of users. The article concludes by providing insights on practical implications for the systems development, presenting concrete examples of possible use cases relevant for the AAL domain linked to the elicited user requirements. © 2018 -IOS Press and the authors. All rights reserved.",1,0,0,0
"Activating and Guiding the Engagement of Seniors With Online Social Networking: Experimental Findings From the AGES 2.0 Project. Objective: Guided by theoretical and empirical work attesting to the health benefits of social connections, we tested whether Internet connectivity, and training in its use for social purposes, can support the well-being of older adults receiving care. Method: Participants (N = 76) were randomly assigned to receive 3 months training versus care-as-usual. Cognitive and mental health were assessed before and after the intervention. Results: Results show significant cognitive improvements across time in the training, but not control, group. This effect was mediated through a combination of increased social activity, improved self-competence, and maintained personal identity strength. Indirect effects on mental health outcomes via these processes were also observed. Discussion: These findings suggest that Internet access and training can support the self and social connectedness of vulnerable older adults and contribute positively to well-being. © 2016, © The Author(s) 2016.",1,1,1,1
"Persuasive games for intergenerational social interaction in urban environments. Social isolation in urban areas is a societal challenge. It affects people of all ages but particularly elderly who struggle to maintain social ties into later-life. Interventions in social isolation primarily focus on elderly in clinical care, overlooking the existence of older adults who live independently. Despite facing dwindling social contact, groups of healthy older adults reside alongside large groups of younger citizens that might offer much needed social interaction. This type of intergenerational social interaction seems promising but motivations of elderly to engage with younger groups who are not necessarily related to them are not well-understood and vice-versa. Persuasive games have the potential to encouraging social interaction. This paper presents a preliminary work on investigating motivations for intergenerational interaction rooted in persuasion theory. It proposes the use of the Integrated Behavior Model as a theoretical framework for understanding behavioral determinants and explores the use of games as a way of fostering changes in attitudes that could enhance intergenerational interactions. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2018.",1,0,0,0
"The use of facebook advertising to recruit healthy elderly people for a clinical trial: Baseline metrics. Background: This report provides data on the use of social media advertising as a clinical trial recruitment strategy targeting healthy volunteers aged 60 years and older. The social media advertising campaign focused on enrollment for a Phase 1 clinical trial. Traditional means of recruiting-billboards, newspaper advertising, word of mouth, personal referrals, and direct mail-were not producing enough qualified participants. Objective: To demonstrate the effectiveness of using targeted advertising on the social networking site Facebook to recruit people aged 60 years and older for volunteer clinical trial participation. Methods: The trial sponsor used a proactive approach to recruit participants using advertising on social media. The sponsor placed and monitored an Institutional Review Board-Approved advertising campaign on Facebook to recruit potential candidates for a Phase 1 clinical trial. The clinical trial required a 10-day residential (overnight) stay at a clinic in Michigan, with one follow-up visit. The sponsor of the clinical trial placed the advertising, which directed interested respondents to a trial-specific landing page controlled by the Contract Research Organization (CRO). The CRO provided all follow-up consenting, prescreening, screening, and enrollment procedures. The campaign was waged over an 8-week period to supplement recruiting by the CRO. Results: A total of 621 people responded to a Facebook advertising campaign by completing an online form or telephoning the CRO, and the clinical trial was fully enrolled at 45 subjects following an 8-week Facebook advertising campaign. Conclusions: An 8-week Facebook advertising campaign contributed to 868 inquiries made regarding a Phase 1 clinical trial seeking to enroll healthy elderly subjects. Over the initial 11 weeks of recruitment, 178 inquiries were received using traditional methods of outreach. Respondents to the Facebook advertising campaign described in this report engaged with the sponsored advertising at a higher rate than is typical for social media-based clinical trial recruitment strategies. The older adults' engagement rate of 4.92% was more than twice as high as click-Through rates of younger adults engaged with social media advertising in other clinical trial recruitment studies. Advertising placed on the social media platform Facebook is effective with the healthy volunteer population aged 60 years and older. This approach can quickly and cost-effectively reach qualified candidates for clinical trial recruitment as a supplement to traditional means of recruiting. Trial Registration: ClinicalTrials.gov: NCT02840279; https://clinicaltrials.gov/ct2/show/NCT02840279 (Archived by WebCite at http://www.webcitation.org/6wamIWXAt).",1,0,0,1
