Authors,Title,Year,Source title,Link,Abstract,Document Type,Source,EID,abstract_structured,filter_OA_include,filter_study_include,notes
Zhou J.,Improving older people's life satisfaction via social networking site use: Evidence from China,2018,Australasian Journal on Ageing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043708009&doi=10.1111%2fajag.12499&partnerID=40&md5=1c3a4a6bb2705ca63da795bac558eba4,Objective: This study aimed to examine the pathways by which social networking sites (SNSs) can improve older people's life satisfaction. Methods: We conducted an online survey in China that lasted eight weeks. Respondents were required to report their demographic characteristics and feelings regarding SNS use. Data were analysed using SPSS 20 and Amos 21. Results: We collected 596 valid samples. The empirical results show that SNS use improves older people's life satisfaction by reducing their loneliness and improving their self-efficacy. Social support alleviates the negative effect of loneliness and enhances the positive effect of self-efficacy on life satisfaction. Sex differences and education differences were significant. Men and less educated people had higher levels of life satisfaction. Conclusion: Policymakers should offer support to SNSs targeting older people and encourage them to provide more useful services. SNS operators should encourage social support among older users and pay attention to sex differences and education differences. © 2018 AJA Inc.,Article,Scopus,2-s2.0-85043708009,1,maybe,0,
"Chen Q., Lo C.K.M., Zhu Y., Cheung A., Chan K.L., Ip P.",Family poly-victimization and cyberbullying among adolescents in a Chinese school sample,2018,Child Abuse and Neglect,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041579104&doi=10.1016%2fj.chiabu.2018.01.015&partnerID=40&md5=92420a08da77c631d0d79017e10d1d86,"The sustained increase in their use of social networking facilitates the development of adolescents but comes with the risk of cyberbullying, which creates new challenges in regard to adolescent protection. Past evidence shows that family victimization may play an essential role in the way adolescents learn cyberbullying behaviors. Yet, research on the co-occurrence of family victimization and cyberbullying is limited. This study aims to investigate the associations between cyberbullying and family victimization among adolescents, and to examine the health correlates of cyberbullying and family poly-victimization. A large sample of 18,341 students, aged 15–17, from six cities in China, collected between 2009 and 2010 is employed in the present study, which investigated the association between various kinds of family victimization and adolescent cyberbullying. Data analysis was conducted in 2017. In-law conflict, intimate partner violence, elder abuse and neglect, and child maltreatment were associated with a higher possibility of children becoming internet victims. Parents’ divorce and separation, low family income, mother's low level of education, and father's unemployment were all associated with cyberbullying victimization. Cyber victimization was positively correlated to symptoms of PTSD and depression, self-harm, and other physical and mental health variables. Possible explanations for the relationships found in this study are discussed and implications for future research and services are provided. Proactive screening for family poly-victimization and cyberbullying is suggested. Schools are highly recommended to cooperate with parents to promote cyber safety. © 2018 Elsevier Ltd",Article,Scopus,2-s2.0-85041579104,0,0,0,
"Dahms R., Haesner M.",Acceptance of information and communication technologies by older adults: Role of relatives in device usage by older adults [Akzeptanz von Informations- und Kommunikationstechnologien bei Senioren: Rolle der Angehörigen bei der Nutzung durch Senioren],2018,Pravention und Gesundheitsforderung,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028333916&doi=10.1007%2fs11553-017-0610-5&partnerID=40&md5=9c2ef7496e497029a2708544323555de,"Background: Considering the fundamental changes in everyday life that accompany rising age, the need to support older adults regarding information and communication technologies (ICT) is increasing. Contact with new technology is a problem for many older adults. Objective: The goal of the present study was to examine how family members support older adults in the acquisition and usage of ICT. Methods: In the qualitative preliminary study, structured interviews with older adults (n = 5) and their family members (n = 6) were performed, which included questions on technology biography, technology acquisition and the effect of the technology usage on the social network. The results were part of the questionnaire of the main study. The main study was part of an accompanying intervention study. A total of 46 adults older than 60 years were included. In addition to aspects from the preliminary study, questions to sex-specific differences regarding the technical support of the social network were also analyzed. Results: Data analysis revealed that mainly family members purchase ICT for the older adults, and they are the main contact persons for technical problems. Above all, the seniors asked their own children for advice. Moreover, seniors who had increased technology use in everyday life (95.7%, n = 22) and higher technology acceptance (mean = 44.0, standard deviation = 7.4) had already had previous experience with technology during school age/career. Conclusion: In the households of older adults, fewer new ICT are found. The interest to purchase ICT is triggered by the technology support of family members. If the technical assistance was distributed to several members of the family and other networks, the burden of an individual family member could be reduced. In addition, the influence of different participants could increase the technology usage of older adults. © 2017, Springer-Verlag GmbH Deutschland.",Article,Scopus,2-s2.0-85028333916,1,1,0,focus on elderly
"Rikard R.V., Berkowsky R.W., Cotten S.R.",Discontinued Information and Communication Technology Usage among Older Adults in Continuing Care Retirement Communities in the United States,2018,Gerontology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033454755&doi=10.1159%2f000482017&partnerID=40&md5=bb508de6516329a6b16652bc9bd73752,"Background: Older adults are increasingly using information and communication technologies (ICTs). Recent studies show beneficial effects of using ICTs for older adults, particularly in terms of reducing loneliness and depression. However, little is known about the factors that may prevent discontinued ICT use in populations that may be at greater risk, such as those in continuing care retirement communities (CCRCs). Objectives: The purpose of this study is to examine a range of factors that may influence discontinued (1) ICT use, (2) searching for health information, and (3) searching for general information over time among CCRC residents. Methods: We use longitudinal data from a randomized controlled trial conducted with residents of 19 CCRCs. We use flexible parametric models to estimate the hazard ratio or hazard rate over 5 waves of data to determine what factors significantly predict discontinued (1) ICT use, (2) health information searching, and (3) general information searching. Results: The analysis reveals that independent living residents who took part in an 8-week ICT training intervention were less likely to stop using ICTs. Age and the number of instrumental activities of daily living (IADL) impairments significantly predicted an increased likelihood of stopping ICT use. When examining specific ICT-related activities, the analysis reveals that independent living residents who took part in the ICT training intervention were less likely to stop searching for health information and general information online. In addition, age and the number of IADL impairments were associated with increased likelihood of discontinued health information searches and discontinued general information searches. Conclusion: ICT training interventions may motivate residents of CCRCs to stay connected by increasing the ICT skill level and promoting confidence, thus decreasing the probability that they will discontinue using ICTs and searching for general information. However, the effects of ICT training on motivating continued ICT usage may be more pronounced among independent living residents. Limitations in the number of IADL impairments is a key factor leading to discontinued use of ICTs among CCRC residents, suggesting that designers of ICTs should be cognizant of the cognitive and physical limitations among this group. © 2017 S. Karger AG, Basel. Copyright: All rights reserved.",Article,Scopus,2-s2.0-85033454755,1,1,1,
"Khalaila R., Vitman-Schorr A.","Internet use, social networks, loneliness, and quality of life among adults aged 50 and older: mediating and moderating effects",2018,Quality of Life Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037659867&doi=10.1007%2fs11136-017-1749-4&partnerID=40&md5=8dccfad900f2e08bcf8064553f19ea8d,"Background: The increase in longevity of people on one hand, and on the other hand the fact that the social networks in later life become increasingly narrower, highlights the importance of Internet use to enhance quality of life (QoL). However, whether Internet use increases or decreases social networks, loneliness, and quality of life is not clear-cut. Purposes: To explore the direct and/or indirect effects of Internet use on QoL, and to examine whether ethnicity and time the elderly spent with family moderate the mediation effect of Internet use on quality of life throughout loneliness. Methods: This descriptive-correlational study was carried out in 2016 by structured interviews with a convenience sample of 502 respondents aged 50 and older, living in northern Israel. Bootstrapping with resampling strategies was used for testing mediation a model. Results: Use of the Internet was found to be positively associated with QoL. However, this relationship was mediated by loneliness, and moderated by the time the elderly spent with family members. In addition, respondents’ ethnicity significantly moderated the mediation effect between Internet use and loneliness. Conclusions: Internet use can enhance QoL of older adults directly or indirectly by reducing loneliness. However, these effects are conditional on other variables. The indirect effect moderated by ethnicity, and the direct effect moderated by the time the elderly spend with their families. Researchers and practitioners should be aware of these interactions which can impact loneliness and quality of life of older persons differently. © 2017, Springer International Publishing AG, part of Springer Nature.",Article,Scopus,2-s2.0-85037659867,1,0,0,50+
"Kuerbis A., Treloar Padovano H., Shao S., Houser J., Muench F.J., Morgenstern J.",Comparing daily drivers of problem drinking among older and younger adults: An electronic daily diary study using smartphones,2018,Drug and Alcohol Dependence,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044390759&doi=10.1016%2fj.drugalcdep.2017.11.012&partnerID=40&md5=08605fe568ebc922e14df9fef7697dcc,"Background: By 2030, numbers and proportions of older adults with substance-use problems are expected to increase. While risk factors for problem drinking in late life have been identified, it remains unknown whether these factors drive daily drinking among older problem drinkers. This study examined the daily drivers of drinking among problem drinkers, moderated by age, utilizing ecological momentary assessment (EMA). Method: Participants (N = 139), ages 20–73, received daily EMA online surveys completed via a smartphone prior to initiation of treatment. Multilevel modeling tested the moderating impact of age on within- and between-person relationships between drinking and focal predictors (mood, loneliness, boredom, stress, poor sleep, social factors, alcohol salience, commitment and confidence not to drink heavily). Results: Older adults reported greater alcohol consumption when daily boredom levels were higher. Heavier drinking among younger adults was associated with poorer sleep quality. Greater daily confidence, daily commitment and daily alcohol salience did not impact drinking to the same extent for older adults as for younger adults. Greater person-level commitment predicted reduced drinking equivalently across age, but low person-level commitment predicted greater drinking among older adults compared to their younger counterparts. Conclusion: Older adults may have unique daily drivers of drinking that are not fully realized in current research and intervention efforts. Addressing the growing substance-use treatment needs among this population will require identifying the unique drivers of drinking among older adults, such as boredom, when compared to younger adults. © 2018 Elsevier B.V.",Article,Scopus,2-s2.0-85044390759,1,0,0,
"Cortellessa G., Fracasso F., Sorrentino A., Orlandini A., Bernardi G., Coraci L., De Benedictis R., Cesta A.","ROBIN, a Telepresence Robot to Support Older Users Monitoring and Social Inclusion: Development and Evaluation",2018,Telemedicine and e-Health,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041746549&doi=10.1089%2ftmj.2016.0258&partnerID=40&md5=e57f843c7086484d238b96eb74e1f049,"Introduction: This article describes an enhanced telepresence robot named ROBIN, part of a telecare system derived from the GIRAFFPLUS project for supporting and monitoring older adults at home. ROBIN is integrated in a sensor-rich environment that aims to continuously monitor physical and psychological wellbeing of older persons living alone. The caregivers (formal/informal) can communicate through it with their assisted persons. Long-term trials in real houses highlighted several user requirements that inspired improvements on the robotic platform. The enhanced telepresence robot was assessed by users to test its suitability to support social interaction and provide motivational feedback on health-related aspects. Methods: Twenty-five users (n = 25) assessed the new multimodal interaction capabilities and new communication services. A psychophysiological approach was adopted to investigate aspects like engagement, usability, and affective impact, as well as the possible role of individual differences on the quality of human-robot interaction. Results: ROBIN was overall judged usable, the interaction with/through it resulted pleasant and the required workload was limited, thus supporting the idea of using it as a central component for remote assistance and social participation. Open-minded users tended to have a more positive interaction with it. Conclusions: This work describes an enabling technology for remote assistance and social communication. It highlights the importance of being compliant with users' needs to develop solutions easy to use and able to foster their social connections. The role of personality appeared to be relevant for the interaction, underscoring a clear role of the service personalization. © Copyright 2018, Mary Ann Liebert, Inc. 2018.",Article,Scopus,2-s2.0-85041746549,1,maybe,0,
"Nguyen Gia T., Sarker V.K., Tcarenko I., Rahmani A.M., Westerlund T., Liljeberg P., Tenhunen H.",Energy efficient wearable sensor node for IoT-based fall detection systems,2018,Microprocessors and Microsystems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032812646&doi=10.1016%2fj.micpro.2017.10.014&partnerID=40&md5=4d2c47c9451c06282df17a9c474f0005,"Falls can cause serious traumas such as brain injuries and bone fractures, especially among elderly people. Fear of falling might reduce physical activities resulting in declining social interactions and eventually causing depression. To lessen the effects of a fall, timely delivery of medical treatment can play a vital role. In a similar scenario, an IoT-based wearable system can pave the most promising way to mitigate serious consequences of a fall while providing the convenience of usage. However, to deliver sufficient degree of monitoring and reliability, wearable devices working at the core of fall detection systems are required to work for a prolonged period of time. In this work, we focus on energy efficiency of a wearable sensor node in an Internet-of-Things (IoT) based fall detection system. We propose the design of a tiny, lightweight, flexible and energy efficient wearable device. We investigate different parameters (e.g. sampling rate, communication bus interface, transmission protocol, and transmission rate) impacting on energy consumption of the wearable device. In addition, we provide a comprehensive analysis of energy consumption of the wearable in different configurations and operating conditions. Furthermore, we provide hints (hardware and software) for system designers implementing the optimal wearable device for IoT-based fall detection systems in terms of energy efficiency and high quality of service. The results clearly indicate that the proposed sensor node is novel and energy efficient. In a critical condition, the wearable device can be used continuously for 76 h with a 1000 mAh li-ion battery. © 2017 Elsevier B.V.",Article,Scopus,2-s2.0-85032812646,0,0,0,
"Gobbens R.J.J., Van Assen M.A.L.M.",Associations of Environmental Factors with Quality of Life in Older Adults,2018,Gerontologist,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041332930&doi=10.1093%2fgeront%2fgnx051&partnerID=40&md5=26d07b5164e80a0545b6bed81e4605d4,"Purpose of the Study: Environmental factors play an important role in the quality of life of older people who often have difficulty maintaining physical, psychological, and social functioning. In this study, we aimed at (a) developing a measurement instrument assessing the factors of older adults' perceptions of their environment, (b) examining the associations of these environmental factors with quality of life domains physical health, psychological, social relations, and environmental, controlling for background characteristics. Design and Methods: Associations between environmental factors and quality of life domains were examined in a crosssectional study using a sample of 1,031 Dutch people aged 65 years and older. Participants completed a Web-based questionnaire, the ""Senioren Barometer."" Forty-two questions on environmental factors were asked, and quality of life domains were assessed by the WHOQOL-BREF. Results: Seven scales (comprising 3-9 items) of environment were constructed-housing, facilities, nuisance, residents, neighborhood, stench/noise, and traffic. All quality of life domains (physical, psychological, social, environmental) were associated with at least one environmental scale. Housing, residents, and nuisance were associated with 4, 3, and 2 domains, respectively. Facilities, neighborhood, stench/noise, and traffic were associated only with quality of life environmental. Implications: This study showed that multiple environmental factors are associated with quality of life in older people. To support independent living in older people health and social care professionals and policymakers may need to carry out interventions, in particular focusing on housing, residents, and nuisance. © 2017 The Author(s). Published by Oxford University Press on behalf of The Gerontological Society of America. All rights reserved.",Article,Scopus,2-s2.0-85041332930,1,1,0,
"Alley S.J., Kolt G.S., Duncan M.J., Caperchione C.M., Savage T.N., Maeder A.J., Rosenkranz R.R., Tague R., Van Itallie A.K., Mummery W.K., Vandelanotte C.",The effectiveness of a web 2.0 physical activity intervention in older adults - a randomised controlled trial,2018,International Journal of Behavioral Nutrition and Physical Activity,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040464379&doi=10.1186%2fs12966-017-0641-5&partnerID=40&md5=e3b3b780b557cdce03bfd5aecc747cb2,"Background: Interactive web-based physical activity interventions using Web 2.0 features (e.g., social networking) have the potential to improve engagement and effectiveness compared to static Web 1.0 interventions. However, older adults may engage with Web 2.0 interventions differently than younger adults. The aims of this study were to determine whether an interaction between intervention (Web 2.0 and Web 1.0) and age group (<55y and ≥55y) exists for website usage and to determine whether an interaction between intervention (Web 2.0, Web 1.0 and logbook) and age group (<55y and ≥55y) exists for intervention effectiveness (changes in physical activity). Methods: As part of the WALK 2.0 trial, 504 Australian adults were randomly assigned to receive either a paper logbook (n = 171), a Web 1.0 (n = 165) or a Web 2.0 (n = 168) physical activity intervention. Moderate to vigorous physical activity was measured using ActiGraph monitors at baseline 3, 12 and 18months. Website usage statistics including time on site, number of log-ins and number of step entries were also recorded. Generalised linear and intention-to-treat linear mixed models were used to test interactions between intervention and age groups (<55y and ≥55y) for website usage and moderate to vigorous physical activity changes. Results: Time on site was higher for the Web 2.0 compared to the Web 1.0 intervention from baseline to 3months, and this difference was significantly greater in the older group (OR = 1.47, 95%CI = 1.01-2.14, p = .047). Participants in the Web 2.0 group increased their activity more than the logbook group at 3months, and this difference was significantly greater in the older group (moderate to vigorous physical activity adjusted mean difference = 13.74, 95%CI = 1.08-26.40min per day, p = .03). No intervention by age interactions were observed for Web 1.0 and logbook groups. Conclusions: Results partially support the use of Web 2.0 features to improve adults over 55s' engagement in and behaviour changes from web-based physical activity interventions. Trial registration: ACTRN ACTRN12611000157976 , Registered 7 March 2011. © 2018 The Author(s).",Article,Scopus,2-s2.0-85040464379,1,0,1,complicated
