text,is_negative,is_book,Y,category
"On Salon: ""The ridicule doesn't bother you?Shirley replied:Not at all, I'm amused by people who think I'm a nutcase. I even help them write the jokes! I just insist that they're funny. If they're not funny, I think a humiliation."" Shirley started her book GOING WITHIN with the quote ""the person who knows how to laugh at himself will never cease to be amused."" p.181 ""There are no coincidence in life. All is harmonious and has meaning and follows the laws of cause and effect."" Archangel Ariel comes with the scent of sweet vanilla to Shirley on p.166, part of my number and more directly on p.136, weaving the ending of my review for FwG, Shirley wrote: ""Why am I concerned (about mosquitoes)? It was because I didn't want to die from being bitten. I knew that was ridiculous. But I didn't like the idea of them sucking my blood. I laughed to myself. Maybe that came from a vampire past-life experience."" p.113 ""Some of the most cruel and torture-loving have returned as dogs; however, that fate is extremely rare. They return to haunt the same sites to test the honesty of humans."" On 2004-1-9 Kite's first case of trance with her soul or her god, which to Kite is nature, I had access to everyone Asharic record. I found that Mao Zedong is a dog & Hitler is in love with a beautiful girl at that time. From unconditional love I understood that Mao chose the hard fast path to experience & learn unconditional love first hand as Shirley's latest book ""Out On a leash"". Mao and me shared the same `water snake' Chinese zodiac sign. p.109 Shirley wrote ""when Palme [Swedish prime minister a.k.a. Charlemagne, first emperor of France] died, I was devastated. John the Scot continued, `The greatest form of love is to allow the consequences that accrue from another's own free will.'"" Same as saying let them be free to choose and experience the consequences, which is part of unconditional love or let it be. Since I grew up in Paris & did remember my first introduction to incarnation was from an elementary teacher there. Until April 1996 when I realized from John Hogue's Pyramid prophecy and accepted my incarnation as Osiris in a flash [Lisa, who this time around faked pregnancy by me. is an incarnation of Iris and why I spent $100,000 buying her a penthouse]. Thereafter understood I can be all incarnations, like all dreams. I know that Roland is one of my incarnation from the French poetry Song of Roland. When 10-year-old, I imprinted a picture of Roland blowing his horn in the rear of Charlemagne's army & it was posted on top of the wall outside by my teacher.  Shirley only mentioned that I killed the giant Moore thus creating her possibility of having an affair with Charlemagne. It seems that Shirley never met Roland, so we both can create the possibility to meet in this lifetime and to love each other unconditionally. On 2001-3-6 [my number again] I found out mom broke her hip in Weihai. I chose Kite to be mom's second round-the-clock caretaker at the hospital and she was willing to come from Beijing. There Kite asked me 2 questions: Will I continue to love unconditionally and do I unconditionally love myself? The former I answered yes, the latter yes and no. Toward the end of April Kite had 3 dreams. First she was choosing between me and her then boyfriend. Second she chose me and third that I kissed her. I spontaneously declared that I will make her 3 dreams happen in reverse. They did. Later I kissed her on the forehead, while in the back of the minivan cab to the airport, picking up my sister. Then we spent 3 wonderful nights exploring our bodies without orgasm and talked until daylight. We fornicated on our 4th night. So Kite chose me and confided that she was willing to engage me only since I became destitute from Lisa by closing shop and unconditionally.  In May we both went back to Beijing for 3 days to move our things to Weihai. On the last day, she was walking around with her boyfriend like a zombie and he even got Kite in bed to produce baby [Kite aborted one fetus with him the year before]. On the last minute, Kite saw through his controlling lies & jumped on my cab to the Beijing train station back to Weihai. Whew! that was indeed a close call in her choosing again. The first time I went back to her parents' mud-made home in the middle of China for the whole October, I got Kite pregnant by impregnating her twice. My first child Bobby 14 years was conceived the same way. In January 2002, while Happy was taking care of mom, Kite and me with a fracture front heel-bone for a whole month, I chose to fell in love with Happy, who is younger than Kite by 4 years. Happy joined our shop at 16 in 1999, dumped into my care by Kite. Happy is the only junior high-school graduate who became a computer hacker and I increased her stipend from 500rmb to 2500rmb for one month. Then decreased it again, because she didn't have the persistence to continue hacking. Happy told me last year that she experienced every kind of feelings from my roller-coaster ride in 2000. I have been courting Happy since January 2002 and Kite spent one year before realizing that she can accept Happy unconditionally too. In 2004 Happy had 2 abortions with a boyfriend. Happy was willing to confide in me only and I realized that she was choosing to very gently let her boyfriend go, by giving him the gift of more love-making. I made the decision to bring our 2 year-old Imagine back for her and her mom to take care in Beijing in October. I saw the year before, Happy was in unconditional love only with Imagine. She chose to tell me the whole truth about all her male relationships. I told her about all mine the year before. This year Happy is 22 and in May I kissed her on the cheek for the first time and she burst out crying. 2 weeks later, I suddenly felt and chose to stand completely naked in front of Happy. Happy chose to hide herself under the blanket. I was surprised that she didn't tell me to get out. So I played this for more than half-hour, until the spell was broken by a phone call. Next day I chose to lift 86lbs Happy onto my lap. While I padded her back up and down, Happy laid softly like a bird in my arms with her head on my shoulder & her long hair before my nose. This arrangement was broken by the arrival of a friend. Next day 2005-5-22, Happy walked in & I hugged her standing up. She put her head on my shoulder like yesterday. I told her I had no pants like the day before. In less than a minute, she kissed me long on the mouth and to my eternal surprise extended her hand to caress my manhood. I laid her down on the bed and undressed her. Happy told days later that I was the most tender man she knew and that she felt like going to bed with me when she was 17 when I was too lonely. After I left with Imagine in June, Happy chose to have a one-night stand with a very tall American aged 40, and the fellow wanted to pay her cash. Naturally Happy didn't accept and she learned a lot from that encounter. Since then she can average one new boyfriend per week and she chose one young male to go to bed with. Until I returned to marry her? Naturally with unconditional love, there is no need for marriage. Kite and Happy both know that I invited them to live by my side as with my right and left arms. Part of my Camino so far",0,1,0,books
"I love spiders and that's why I read this book! A young boy named Bobby has just moved from Illinois. He's just moved to New Paltz, New York when he starts his new school but there is a boy named Chick Hall. Chick likes hassling him and starts calling Bobby ""Boy from Illinois"". Bobby was getting mad, at the same time he was worried because his girl tarantula Thelma wasn't moving a lot. Now you read the rest.  ",0,1,0,books
"This book is a must-have for anyone facing the battle of the bulge.  The three sisters have taken the guess work out of many of the weight loss programs available, and have done so in such a way that the book was a delight to read.  It's sprinkled with humor, but gets to the core of what you need to be healthy and reach your goal weight.  Don't let another day go by without ordering this book! ",0,1,0,books
"I found Mr. Cristol's book a great read.  It provides an engrossing fictional account of Israel's attack on USS Liberty during the middle of the Six Day War.  The author does an excellent job of portraying highly skilled and experienced Israeli fighter pilots as being dazed by the ""fog of war"" and thinking they saw a high-speed, enemy destroyer when in fact, it was a slow-speed, WW2 cargo type ship -- laden with antennas.Mr. Cristol's description of only two aircraft making several attack passes at the front of ship, and firing only 30mm cannon in few second bursts, followed by two others attacking from the rear with a couple of napalm bombs, while flying at 600 knots, makes you feel like you're in the pilot's seat.  Unfortunately, the fictional elements of this account don't hold up as well as others because photographs of attack damage clearly show the ship was hit from the front, side and rear by many rockets and 30mm cannon; i.e., the attack involved more than four aircraft, and rockets were the primary weapon.  Nonetheless, it's a good piece of story telling.The torpedo attack is well explained too.  While reading about how seasoned Israeli Motor Torpedo Boat commanders confused the modern looking USS Liberty with an old Egyptian horse carrier, I almost came to believe it was possible.  Both vessels were cargo type ships and they both had a bow and stern.  The author's treatment of this phase of the attack is a brilliant work of fiction.I highly recommend this book to anybody who may be interested in reading a fictional account of the USS Liberty Incident",0,1,0,books
"As a struggling, and starting, fiction writer I found this book to be incredibly useful.  James Scott Bell has some biases in his approach to writing, and his personal fiction style, those did not prevent him from offering a wide array of tips and tricks from a variety of sources.  His chapter on the question of whether to outline a project, or to free write, was particularly illuminating.  This is a book I refer back to",0,1,0,books
This is a fantastic (almost unbelievable) book that should be read by every high school student in this country.  This is an exceptional story illustrating what Vietnam War POW's had to endure.  Mr Dengler is a hero  and a credit to the Navy and our Armed Services.  Awesome!!  His  determination to escape from his captors and return home was truly  inspirational.  I hope to meet this man and shake his hand someday,0,1,0,books
"The authors of Blogging for Business, Shel Holtz and Ted Demopoulous, did an excellent job of standardizing the process of blogging and creating a book that I'd like to refer to as a `blogging bible' for anyone participating in the blogging experience.  As the buzz about blogging has taken off, Holtz and Demopoulous do a great job of simplifying the entire blogging process.  In fact the subhead for their book is a great summary - ""Everything you need to know and why you should care.""  I'm glad this is the first book I read on the subject of blogging because Holtz and Demopoulous did a wonderful job of describing the business benefits of why blogging should be on your radar screen.  The first couple chapters of the book cover the blogging basics that anyone interested (or knowledgeable for that matter) in blogging should understand before getting into the benefits.In a way the book serves as an instruction manual about how to set up a blog as they go into nice detail about the various services and functions available.  I was able to set up my personal blog by following chapter 8, ""How to create a blog - step-by-step.""  As I mentioned earlier, this is definitely a book that I've referred back to as I encounter anything new or confusing this blogging world that we're in.Three of the last four chapters focused on the topic of promoting and measuring the results of your blog.  Based on personal experience with blogs, I would focus most of your time reading and re-reading these chapters.  As Holtz and Demopoulous mention throughout the book, the biggest challenge of blogging is getting noticed by others by understanding the `behind the scenes' process for promoting your blog.Blogs, podcasts, vlogs (video blog) and other forms of `new media' are definitely worth consideration - especially from a business perspective.  Blogging for Business is a great starting point for anyone interested or curious to learn more about this new influential world.  ",0,1,0,books
"The book Yellow: Race in America Beyond Black and White to me is blatant and apparent proof that the Asian political voice has been hijacked and is fully rampant with an anti-white, anti-American viewpoint.  While I do not think the mind of Mr. Wu is reflective of the vast majority of Asians in America, his scripture is about as proof-positive as I have seen that while white Americans (European Americans) have fought hard against segregation for decades under a naïve spell for the benefit of minorities, Asian politicians as well as university professors of various minority races are actually promoting the philosophy and indoctrination for racial separatism.  The idea of racial equality is apparently not what elites like Frank Wu have in mind:  the condemnation of America and the same people who created pro-Asian immigration laws from the middle 1960s - whites -- is.  Far beyond equal rights for all, this new anti-anything-for-the-sake-of-it viewpoint, which airs in Yellow is nothing like what Martin Luther King, Jr., and the many other former civil rights activists were promoting.  The mindset of the author in this book (Frank Wu) is hyper-eccentric, seemingly hateful, dangerously irrational, and anti-establishment with no clear objective other than dissent for destruction.  To learn about the new form of hatred that a growing radical Asian intellectual base and other minorities are brewing, browse this book",1,1,1,books
"MacKinnon's work on social constructionist radical feminist is the most eloquent, powerful, persuasive articulation of the field to date.  &quot;Postmodernism&quot; could learn a lot by looking back to MacKinnon and REALLY understanding what she has to say instead of dismissing her work as 'essentialist.'  MacKinnon continues to be a brilliant, important voice in feminism despite its energies being tapped by unfortunate new movements in academic that have distracted young scholars' attention.  A Must Read",0,1,0,books
"This beautifully illustrated large book shows what's happening in club/discotheque design. Like a lot of the daab books, it basically has no text. Instead it is a collection of high quality photographs showing the latest trends in club design from around the world. And around the world really means all over the world vrom Brazil to Peru, Japan to New York, all over Europe, behind the old Iron Curtain, Israel and more. Clubs seem to go through styles. From the original dingy cellers to high style, then back to the celler with the warehouse look of exposed beams and utilities, and more recently to a wide variety of styles that combine nearly any look from living room, to theater, to cave. Consider this as an idea book for club design. It's what the top designers around the world are doing these days",0,1,0,books
"This is the most perfect programming book I've read, and the most easily understood. I only wish I'd had it 3 years ago. It's great for beginners not only to PHP but to programming in general",0,1,0,books
"I own lots of cookbooks (over 200) and the White Dog Cafe cookbook is one of my favorites.  I have tried about half of the book's recipes and have never been disappointed.  The recipes are interesting, using ingredients that non-professionals can find easily.  The techniques are easy and the food is very tasty.  The food is also creative and can be made (even for the first time)without a household staff of 12!  The White Dog Cafe's Black Bean Soup is the only version I really like and I have made it several times.  The social philosophy of the authors is an added bonus",0,1,0,books
"Ehrenreich is the kind of journalist I despise. One who thinks her insights are so important that it doesn't matter how much she inconveniences others to make her point.She constantly drones about how difficult it is to find housing on the wages blue color workers earn.  The market is to tight, that oftentimes one has to use a huge percentage of one's pay to stay in hotels while looking for apartments.  Does that stop Ehrenreich from competing for those coveted apartments?  Of course not.  She has to do her research, and she is the only reliable subject she can find to satisfy her curiousity.  If jobs and apartments are so hard to come by, then leave those jobs and digs for the people who so desparately need them.  There is nothing one learns from Ehrenreich's experiences that one couldn't have learned from professional interviews of blue color workers.  But that would have taken away Ehrenreich's righteous indignation.  Don't encourage this kind of writing.  See it for what it is. Gratuitous research that could have been easily conducted without firsthand experience.  And that while doing it, some very needy people were out of work and living in substandard housing conditions",1,1,1,books
"Though not for the impatient, this companion to Lattimore's translation of the Iliad is quite accessible to the non-specialist. Difficult passages are explained by making reference to archaelogical and linguistic evidence, other ancient texts (including the scholia and the Odyssey), and recent research on the transmission of oral literature.The reader is thus better able to place this seminal literary work in its proper context. Willcox helps us understand the cultural, political and human forces that shaped the Iliad during the centuries it was an oral poem, and the slight variations it probably underwent once committed to the written word.Overall, an outstanding work of scholarship.",0,1,0,books
"Virtual machines and virtualization are a hot topics in the IT industry today. This is a perfect book and a very good introduction to the topic if you consider programming your own virtual machine. This is also a good introduction for you want to understant the techology behind modern virtual machines. I have a few virtual machine related books in my self and this is the best general introduction to virtual machines. The book deals with practical problems related to implementing your own virtual machine and improving its performance. If you are just interested in virtualization of your current hardware to support multiple operating systems using virtualization software such as VMWare, Xen or Microsoft Virtual Server, then this defenitely is NOT the book for you! If your main interest is on the Java Virtual Machine, then you should consider purchasing Java VM specific book such as Java Virtual Machine Specification.",0,1,0,books
Great book for the first-time home buyer to the experienced mortgage broker,0,1,0,books
"Not suprising liberals come up with this in order to try and silence some of the rare good Americans we have to speak out in true support of our great country. The author even uses ""HATE"" blatently, which only shows how blind the twisted perspective is. I know the conservatives like Savage and Coulter are definitely not liars and actually have the right plan America needs for adequate terrorist protection. Its also funny, Ann Coulter, Bill O'Reilly, Rush Limbaugh etc do not actually hate mentally ill liberals like author Clint Willis hates what he doesnt agree with,  but they are actually trying to help and change why exactly these people(extreme left) act in this suicidal, destructive and absolutly antiAmerican way of thinking. ",1,1,1,books
"Thsi set of tapes is wonderful.  If you are a fan of the Michael Chekhov Technique, or merely curious, the tapes are an opportunity to hear Michael Chekhov share the elements of his technique with a group of professional actors.  I have a set just for drive time in my car - they keep me very connected to the technique and Chekhov's artistic vision",0,1,0,books
"Tremendously stupendous, affecting book. I'm in awe of the writing which is not your everyday affair. This book doesn't read, it sings.  Kelly is an Australian folk hero -- a Robin Hood character by way of Jesse James with dollops of Dickens and Sinclair Lewis.  It's the best novel I've read in ages.  Give the patois some pages to kick in -- you'll be glad you did, boy howdy.This is a fine, exquisite novel -- can't praise it and Carey enough.  I'm also a happy reader of ""Tax Inspector"" and ""Oscar & Lucinda.""  I expect Carey soon will join his august peers (Coetzee, Gordimer, Unsworth, Saragamo et alia",0,1,0,books
"This book offered very little in the way of useful information.  To make matters worse, the cartoons that nearly filled every page of the book had almost nothing to do with recovery from the pain of addiction.  Perhaps, this book would be useful for someone with a very limited vocabulary, along with even less interest in overcoming an addiction. ",1,1,1,books
"I LOVE Mrs. Wishy-Washy.  I used many of Joy Cowley's books when I taught Kindergarten.  I had almost evey Big Book of Mrs. Wishy-Washy and they were some of the children's favorites.  I am now at home with my 3 year old twins and 15 month old daughter and was so excited to see this book in our bookstore one day.  I thought they were only available through Rigby reading programs.  Anyhow, I bought it as soon as I saw it and my twins love it!  It is a wonderful predictable book and is great for teaching some pre-reading skills as well as just enjoying the story.  Also, it is the perfect length for wiggly toddlers/preschoolers. Short and sweet",0,1,0,books
"If I could have just one recent book on my shelf to use as a reference for leadership development, organizational effectiveness, performance feedback and coaching, this would be the one.  Each chapter is authoritatively written in clear, approachable language.  Reflected in the chapters is a high level of professional and scientific discipline without a hint of academic arrogance.  Unlike many edited books having different authors for each chapter, this book is well structured and integrated so as to be readable either from beginning-to-end (probably the best way) or each chapter standing alone.  The chapter authors, each a recogonized expert, obviously paid attention to the others' writings.  Each author provides a complementary piece of the puzzle while avoiding repetition.  This handbook is an excellent example of how a compendium should be edited, and how a team of authors can blend their efforts on a complex subject",0,1,0,books
Bruce Lee covers the basics and foundations of training.All too often martial artists focus their energies on techniques without developing or preparing the body for such techniques.This volume covers:1) Aerobic Conditioning - running vs jumping rope2) Stretching 3) Core muscle strengthening almost always overlooked. Namely abdominal toning4) Proper stance and movement5) Footwork6) Developing power in your strikes 7) Increasing your speed,0,1,0,books
"	I bought Don Debelak's book,  ""Bringing Your Product To Market In Less Than A Year"" because that is just what I wanted to do.  I applied for a patent on my new and better method of doing something that was long overdue for improvement.	I read the book and made a list of questions to ask Don, or one of his staff.  Before approaching him, I visited his website, dondebelak.com  and viewed everything clickable.  At his site, I was glad to see that he offered three different methods through which he, or a staff member could assist me. I chose the most reasonable, by e-mail, as that way I have all the good info at my fingertips. The other options are by phone, where I'd have to remember everything they explained to me.  The third choice is having one of his staff members visit my place of business, which is my home. 	I phoned and asked for Don.  I explained what I was trying to do, and told him I had just finished his most recent book, and that I needed help, preferably by e-mail.  He said ""fine"", and asked a few questions.  Then he stepped me through what he saw as the best way to describe the invention, and we talked about the business plan, and what category of venture capitalists would be most interested in this type of invention.	The next day an e-mail laying out the next steps that needed to be taken and how to go about it was in my email box.  I found what I was looking for, the person with all the knowledge that I was lacking, and he took me by the hand and led me through it.  If you'd like to contact Don by e-mail, you can reach him here,  DonDebelak34@msn.com .	(...",0,1,0,books
"You may have read numerous books on World War II, but Irmgard Hunt has written an account from her viewpoint of growing up in Nazi Germany in the town of Berchtesgaden.  She describes conflicting opinions held by family members regarding Adolf Hitler and her confusion as to who and what to believe.  Was he Germany's savior or a monster to be feared?  School became something she hated due to pro Nazi teachers who indoctrinated the students and abused their authority with unnecessary corporal punishment.  One of her classmates was the son of Albert Speer while another was the son of the executed Fritz Sauckel.   Irmgard describes an experience of a fanatical pro Nazi teacher who insisted she get up in front of the class and state how proud she was that her father gave his life in the war for the Fuhrer.  Another of her teacher's appeared to be a kindly woman who gently asked whether or not one of her relatives was supporting the Fuhrer.  She hesitated in answering, but then lied that he doesn't talk about the situation.  She later found her teacher was an informant for the Gestapo, and shuddered as to how close she had come to consigning him to a concentration camp.  She also relates her uncomfortable experience of sitting on the knee of Hitler in addition to her fear of allied bombings and wondering how the Americans would treat her family members once they invaded Berchtesgaden.  This book is told from the viewpoint of a child and the fears and conflicting thoughts she had regarding the war.  The book also includes a picture of Hitler's Berghof after it was bombed along with a picture of the Eagle's Nest sitting on top one of the mountains.  The author also speaks of her beginning to challenge her mother's beliefs.  The war became tiresome and Irmgard realized she had been robbed of a significant part of her childhood.  This book is a quick read, but whether you are a grizzled veteran of World War II books or a neophyte this is a book that gives you the war from a different viewpoint ( a child).  ",0,1,0,books
"Buy this book for the topic on Expressive Visual Journaling by Juliana Coles.  It will change your life; it will change your art. Seriously, if you visualize creating very gritty and spontaneous journal pages, but are constrained by your inner critic, your talking self, Coles' technique will show you how to break down your barriers and make your journal pages be expressive.I am still digesting the book, which is a collection of articles by the luminaries of the zine and alterative arts world. Very few of the articles are projects in the usual, canned, sense of the word.  All are inspirations",0,1,0,books
"Given the challenges faced by the U.S. armed forces and our government in Iraq, Afghanistan, the Balkans (still) and, possibly soon, in Africa, this book is as timely in its subject matter as it is sensible and useful.  The editors (de Jong, Platje and America's inimitable Robert Steele) have assembled subject matter experts from almost a dozen countries with peacekeeping experience, and they've done a fine job of keeping the entries clear, readable and focused.  Having worked in intelligence for over two decades myself, I can attest that the deep human challenges of intelligence operations during peacekeeping and peacemaking operations remain insufficiently met by our own or other intelligence bureaucracies.  It's not a matter of failure, but of (too often) mediocrity and inadequacy in the clinch.  Intelligence systems that are still haunted by the legacies of Cold War hardware and, worse, Cold War thinking still have not adapted adequately to our grave new world. We're learning, but perhaps not quickly enough. Steele, especially, has campaigned boldly in the cause of using open-source material to supplement classified data--and, in some cases, to supplant it--and we may expect powerful results wherever his advice is taken to heart.  Overall, this is a valuable, useful, thoughtful book one can strongly recommend both for professionals in the field and interested citizens.  Well done",0,1,0,books
"Finally a book that offers you true wisdom and insight into the inner-workings of the equity markets.. No more nonsense or ""pseudo-guru"" thinking on how to become rich overnight!But there is a catch... patience and trust. Well, I hope no one reads this review because they will catch up to the wisdom of Mr. O'Shaughnessy and thus will make us, the lucky few who read the book, not such a lucky few..",0,1,0,books
"A true visionary of the highest calibar, Ms. Amidon has once again blessed the world community with a working masterpiece.  This book is a must read for anyone responsible for developing sustainable strategies or policies for countries, organizations or world regions.  In a world that appears to be in chaos and spiraling out of control, this work serves to bring understanding and insight necessary for the development of progressive and sustainable change. In essence, Ms. Amidon  not only makes it clear that such changes warranted, but she delivers the hope that they are possible.The requisite courage and leadership to initiate and execute such change, must be brought to the table by the bold and earnest practicioner.  There is after all, only so much a book can do. However, and in that regard, Ms. Amidon has once again truly demonstrated her courage and leadership by producing this original and thought provoking work",0,1,0,books
"This is a beautifully written memoir by one of our best Chicana writers.  Seizing upon Roland Barthes's writings on photography, Cantu reconstructs her childhood on the U.S./Mexican border, teaching us that the border  itself is an artificial barrier.  This is a moving story of an American  family that has worked hard and sacrificed much.  We can only hope that the  rest of America will recognize sooner than later the enormous contributions  to U.S. history made by Mexican Americans",0,1,0,books
"Pre-K. This lovely book by Lewis Kim is about Harry, a stuffed elephant. The author has written another Harry story called `My Friend Harry'. This book can be viewed as a sequel to that title. This is about Harry when James, Harry's owner, is not around. Harry's problem is that he cannot fell asleep. When Harry has trouble sleeping, he tries everything to make himself sleepy. He reads bedtime stories, cleans up the room, runs, and even jumps. Still unable to go to sleep, he becomes worried. His friends, Lulu, the sheep and, Ted, the teddy bear help Harry out. Finally, Harry fells fast asleep.Done with colored pencil and pastels, Kim Lewis's illustrations are soft and dreamy. Yet they are realistic enough so they lure us to touch them to see whether we can feel Harry and other friends' fluffiness. The story is a soothing and heart warming bedtime story. It encourages sleep for everyone who reads it, even for readers who are not yet sleepy. When you finish reading this book, you might want to peek at the stuffed animals in children's room to see if those toys are talking, moving around, and making themselves busy. I would highly recommend this book to readers in preschool to kindergarten. This charming book could make toddlers happy, too.",0,1,0,books
I am a survivor of the polio epidemic of the mid forties.  This is an excellent account of those days and of the people who ultimately conquered this disease and saved the lives of thousands from its ravages,0,1,0,books
"This book is a model text for looking at the spread of WMDs throughout the planet.  Looking at all the major hotspots (DPRK, Iran, Pakistan, et al), this work provides stunning insight into the future.I am a bit biased, Professor Lavoy is my masters thesis advisor. However, having taken a number of his classes, and using this text as a starting point for thesis research, I can say it's a great starting point for someone intersted, not just in the headlines, but the reasons behind this critical national security issue.Too often in America, we're only interested in the newspaper article and soundbite, not caring for the deeper reasons behind a particular event.  This book delves beyond the mere events of today, reaching forward (and back) years, if not decades",0,1,0,books
"The ""Chicken Soup"" series is enormously popular.  This book is a wonderful collection of stories from parents about the challenges and rewards of raising a family.",0,1,0,books
"This is a fabulous book. It is a comprehensive and respectful treatment of outsider artists from the US and abroad.  The photos are exquisite and the text is well-written and informative. If you are at all interested in outsider art, this book will be a cherished addition to your library",0,1,0,books
"Soul at Work: Spiritual Leadership in Organizations is a guide to spirituality especially for organizational leaders. Written by an expert teacher in the areas of spirituality and organizational leadership, Soul at Work examines the role of individuals in nurturing soul, the organizational means by which soul can be manifest, and procedures for balancing tensions and difficulties between individuals and organizations. Segments discuss the leadership requirements to bring about transformations, how leaders listen, the importance of honoring what really matters in both business and volunteer organizations, the importance of remembering the real cause behind charitable organizations, and much more. Numerous anecdotes and examples vividly illustrate this insightful, practical, and soulful guide.",0,1,0,books
"	We think The Godfather was a excellent book we enjoyed the way Mario Puzo describes every scene with numerous details. We also enjoyed how Mario Puzo describes all the characters. The book is full of crime, love, passion, action, and tragedy. We were also delighted by the way Mario Puzo jumps from one scene to another in each chapter. The Godfather is a book you never want to put down once you start reading the first page.",0,1,0,books
"This blue book &quot;Fundementals of Probability&quot; is not very fundemental, this is one of the worse math text books I have ever seen. All probability books have same material but different author, This books dose  not explain everything in detail and expect the beginers to know every  single probability questions in advance, and there are lot of typo  errors.....",1,1,1,books
